Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
258¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":31,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/kill-port-process_0.0.1/kill-port-process.test.js"}¿¿Program
259¿VariableDeclarator¿¿444¿v45¿¿¿{"start":{"line":1,"column":47},"end":{"line":31,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/kill-port-process_0.0.1/kill-port-process.test.js"}¿¿VariableDeclarator
260¿ArrowFunctionExpression¿¿444¿¿¿¿{"start":{"line":1,"column":47},"end":{"line":31,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/kill-port-process_0.0.1/kill-port-process.test.js"}¿¿ArrowFunctionExpression
261¿VariableDeclarator¿¿446¿v24¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/kill-port-process_0.0.1/kill-port-process.test.js"}¿¿VariableDeclarator
262¿CallExpression¿¿446¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/kill-port-process_0.0.1/kill-port-process.test.js"}¿¿CallExpression
263¿MemberExpression¿¿446¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/kill-port-process_0.0.1/kill-port-process.test.js"}¿¿MemberExpression
264¿Identifier¿¿446¿expect¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/kill-port-process_0.0.1/kill-port-process.test.js"}¿¿Identifier
265¿Identifier¿¿446¿assertions¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/kill-port-process_0.0.1/kill-port-process.test.js"}¿¿Identifier
266¿Literal¿number¿446¿¿2¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/kill-port-process_0.0.1/kill-port-process.test.js"}¿¿Literal
267¿ExpressionStatement¿¿446¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/kill-port-process_0.0.1/kill-port-process.test.js"}¿¿ExpressionStatement
268¿Identifier¿¿446¿v24¿¿¿¿¿Identifier
269¿VariableDeclarator¿¿446¿killPortProcess¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":54},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/kill-port-process_0.0.1/kill-port-process.test.js"}¿¿VariableDeclarator
270¿CallExpression¿¿446¿¿¿¿{"start":{"line":3,"column":26},"end":{"line":3,"column":54},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/kill-port-process_0.0.1/kill-port-process.test.js"}¿¿CallExpression
271¿Identifier¿¿446¿require¿¿¿{"start":{"line":3,"column":26},"end":{"line":3,"column":33},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/kill-port-process_0.0.1/kill-port-process.test.js"}¿¿Identifier
272¿Literal¿string¿446¿¿'kill-port-process'¿¿{"start":{"line":3,"column":34},"end":{"line":3,"column":53},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/kill-port-process_0.0.1/kill-port-process.test.js"}¿¿Literal
273¿VariableDeclarator¿¿446¿fs¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/kill-port-process_0.0.1/kill-port-process.test.js"}¿¿VariableDeclarator
274¿CallExpression¿¿446¿¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/kill-port-process_0.0.1/kill-port-process.test.js"}¿¿CallExpression
275¿Identifier¿¿446¿require¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/kill-port-process_0.0.1/kill-port-process.test.js"}¿¿Identifier
276¿Literal¿string¿446¿¿'fs'¿¿{"start":{"line":4,"column":21},"end":{"line":4,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/kill-port-process_0.0.1/kill-port-process.test.js"}¿¿Literal
277¿VariableDeclarator¿¿446¿path¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":36},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/kill-port-process_0.0.1/kill-port-process.test.js"}¿¿VariableDeclarator
278¿Literal¿string¿446¿¿'./kill-port-process'¿¿{"start":{"line":5,"column":15},"end":{"line":5,"column":36},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/kill-port-process_0.0.1/kill-port-process.test.js"}¿¿Literal
279¿VariableDeclarator¿¿446¿PORT¿¿¿{"start":{"line":6,"column":8},"end":{"line":6,"column":43},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/kill-port-process_0.0.1/kill-port-process.test.js"}¿¿VariableDeclarator
280¿Literal¿string¿446¿¿'$(touch kill-port-process)'¿¿{"start":{"line":6,"column":15},"end":{"line":6,"column":43},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/kill-port-process_0.0.1/kill-port-process.test.js"}¿¿Literal
281¿TryStatement¿¿446¿¿¿¿{"start":{"line":7,"column":2},"end":{"line":14,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/kill-port-process_0.0.1/kill-port-process.test.js"}¿¿TryStatement
282¿VariableDeclarator¿¿446¿v25¿¿¿{"start":{"line":8,"column":8},"end":{"line":8,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/kill-port-process_0.0.1/kill-port-process.test.js"}¿¿VariableDeclarator
283¿CallExpression¿¿446¿¿¿¿{"start":{"line":8,"column":8},"end":{"line":8,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/kill-port-process_0.0.1/kill-port-process.test.js"}¿¿CallExpression
