Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
178¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":20,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/killport_1.0.1/killport.test.js"}¿¿Program
179¿VariableDeclarator¿¿304¿v29¿¿¿{"start":{"line":1,"column":38},"end":{"line":20,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/killport_1.0.1/killport.test.js"}¿¿VariableDeclarator
180¿ArrowFunctionExpression¿¿304¿¿¿¿{"start":{"line":1,"column":38},"end":{"line":20,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/killport_1.0.1/killport.test.js"}¿¿ArrowFunctionExpression
181¿VariableDeclarator¿¿306¿v16¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/killport_1.0.1/killport.test.js"}¿¿VariableDeclarator
182¿CallExpression¿¿306¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/killport_1.0.1/killport.test.js"}¿¿CallExpression
183¿MemberExpression¿¿306¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/killport_1.0.1/killport.test.js"}¿¿MemberExpression
184¿Identifier¿¿306¿expect¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/killport_1.0.1/killport.test.js"}¿¿Identifier
185¿Identifier¿¿306¿assertions¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/killport_1.0.1/killport.test.js"}¿¿Identifier
186¿Literal¿number¿306¿¿2¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/killport_1.0.1/killport.test.js"}¿¿Literal
187¿ExpressionStatement¿¿306¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/killport_1.0.1/killport.test.js"}¿¿ExpressionStatement
188¿Identifier¿¿306¿v16¿¿¿¿¿Identifier
189¿VariableDeclarator¿¿306¿killport¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":38},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/killport_1.0.1/killport.test.js"}¿¿VariableDeclarator
190¿CallExpression¿¿306¿¿¿¿{"start":{"line":3,"column":19},"end":{"line":3,"column":38},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/killport_1.0.1/killport.test.js"}¿¿CallExpression
191¿Identifier¿¿306¿require¿¿¿{"start":{"line":3,"column":19},"end":{"line":3,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/killport_1.0.1/killport.test.js"}¿¿Identifier
192¿Literal¿string¿306¿¿'killport'¿¿{"start":{"line":3,"column":27},"end":{"line":3,"column":37},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/killport_1.0.1/killport.test.js"}¿¿Literal
193¿VariableDeclarator¿¿306¿fs¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/killport_1.0.1/killport.test.js"}¿¿VariableDeclarator
194¿CallExpression¿¿306¿¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/killport_1.0.1/killport.test.js"}¿¿CallExpression
195¿Identifier¿¿306¿require¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/killport_1.0.1/killport.test.js"}¿¿Identifier
196¿Literal¿string¿306¿¿'fs'¿¿{"start":{"line":4,"column":21},"end":{"line":4,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/killport_1.0.1/killport.test.js"}¿¿Literal
197¿VariableDeclarator¿¿306¿path¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/killport_1.0.1/killport.test.js"}¿¿VariableDeclarator
198¿Literal¿string¿306¿¿'./killport'¿¿{"start":{"line":5,"column":15},"end":{"line":5,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/killport_1.0.1/killport.test.js"}¿¿Literal
199¿TryStatement¿¿306¿¿¿¿{"start":{"line":6,"column":2},"end":{"line":12,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/killport_1.0.1/killport.test.js"}¿¿TryStatement
200¿VariableDeclarator¿¿306¿v17¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/killport_1.0.1/killport.test.js"}¿¿VariableDeclarator
201¿CallExpression¿¿306¿¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/killport_1.0.1/killport.test.js"}¿¿CallExpression
