Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
193¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":22,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/local-devices_2.0.0/local-devices.test.js"}¿¿Program
194¿VariableDeclarator¿¿331¿v31¿¿¿{"start":{"line":1,"column":43},"end":{"line":22,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/local-devices_2.0.0/local-devices.test.js"}¿¿VariableDeclarator
195¿ArrowFunctionExpression¿¿331¿¿¿¿{"start":{"line":1,"column":43},"end":{"line":22,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/local-devices_2.0.0/local-devices.test.js"}¿¿ArrowFunctionExpression
196¿VariableDeclarator¿¿333¿v17¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/local-devices_2.0.0/local-devices.test.js"}¿¿VariableDeclarator
197¿CallExpression¿¿333¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/local-devices_2.0.0/local-devices.test.js"}¿¿CallExpression
198¿MemberExpression¿¿333¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/local-devices_2.0.0/local-devices.test.js"}¿¿MemberExpression
199¿Identifier¿¿333¿expect¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/local-devices_2.0.0/local-devices.test.js"}¿¿Identifier
200¿Identifier¿¿333¿assertions¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/local-devices_2.0.0/local-devices.test.js"}¿¿Identifier
201¿Literal¿number¿333¿¿2¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/local-devices_2.0.0/local-devices.test.js"}¿¿Literal
202¿ExpressionStatement¿¿333¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/local-devices_2.0.0/local-devices.test.js"}¿¿ExpressionStatement
203¿Identifier¿¿333¿v17¿¿¿¿¿Identifier
