Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
208¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":25,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/lsof_0.1.0/lsof.test.js"}¿¿Program
209¿VariableDeclarator¿¿357¿v18¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":42},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/lsof_0.1.0/lsof.test.js"}¿¿VariableDeclarator
210¿CallExpression¿¿357¿¿¿¿{"start":{"line":1,"column":25},"end":{"line":1,"column":42},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/lsof_0.1.0/lsof.test.js"}¿¿CallExpression
211¿Identifier¿¿357¿require¿¿¿{"start":{"line":1,"column":25},"end":{"line":1,"column":32},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/lsof_0.1.0/lsof.test.js"}¿¿Identifier
212¿Literal¿string¿357¿¿'assert'¿¿{"start":{"line":1,"column":33},"end":{"line":1,"column":41},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/lsof_0.1.0/lsof.test.js"}¿¿Literal
213¿VariableDeclarator¿¿357¿doesNotMatch¿¿¿{"start":{"line":1,"column":8},"end":{"line":1,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/lsof_0.1.0/lsof.test.js"}¿¿VariableDeclarator
214¿MemberExpression¿¿357¿¿¿¿{"start":{"line":1,"column":8},"end":{"line":1,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/lsof_0.1.0/lsof.test.js"}¿¿MemberExpression
215¿Identifier¿¿357¿v18¿¿¿¿¿Identifier
216¿Identifier¿¿357¿doesNotMatch¿¿¿{"start":{"line":1,"column":8},"end":{"line":1,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/lsof_0.1.0/lsof.test.js"}¿¿Identifier
217¿VariableDeclarator¿¿357¿v33¿¿¿{"start":{"line":2,"column":34},"end":{"line":25,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/lsof_0.1.0/lsof.test.js"}¿¿VariableDeclarator
