Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
200¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":23,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macaddress_0.2.8/macaddress.test.js"}¿¿Program
201¿VariableDeclarator¿¿343¿v33¿¿¿{"start":{"line":1,"column":40},"end":{"line":23,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macaddress_0.2.8/macaddress.test.js"}¿¿VariableDeclarator
202¿ArrowFunctionExpression¿¿343¿¿¿¿{"start":{"line":1,"column":40},"end":{"line":23,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macaddress_0.2.8/macaddress.test.js"}¿¿ArrowFunctionExpression
203¿Identifier¿¿0¿done¿¿¿{"start":{"line":1,"column":41},"end":{"line":1,"column":45},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macaddress_0.2.8/macaddress.test.js"}¿¿Identifier
204¿VariableDeclarator¿¿345¿v18¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macaddress_0.2.8/macaddress.test.js"}¿¿VariableDeclarator
205¿CallExpression¿¿345¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macaddress_0.2.8/macaddress.test.js"}¿¿CallExpression
206¿MemberExpression¿¿345¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macaddress_0.2.8/macaddress.test.js"}¿¿MemberExpression
207¿Identifier¿¿345¿expect¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macaddress_0.2.8/macaddress.test.js"}¿¿Identifier
208¿Identifier¿¿345¿assertions¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macaddress_0.2.8/macaddress.test.js"}¿¿Identifier
209¿Literal¿number¿345¿¿2¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macaddress_0.2.8/macaddress.test.js"}¿¿Literal
210¿ExpressionStatement¿¿345¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macaddress_0.2.8/macaddress.test.js"}¿¿ExpressionStatement
211¿Identifier¿¿345¿v18¿¿¿¿¿Identifier
212¿VariableDeclarator¿¿345¿fs¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macaddress_0.2.8/macaddress.test.js"}¿¿VariableDeclarator
213¿CallExpression¿¿345¿¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macaddress_0.2.8/macaddress.test.js"}¿¿CallExpression
214¿Identifier¿¿345¿require¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macaddress_0.2.8/macaddress.test.js"}¿¿Identifier
215¿Literal¿string¿345¿¿'fs'¿¿{"start":{"line":3,"column":21},"end":{"line":3,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macaddress_0.2.8/macaddress.test.js"}¿¿Literal
216¿VariableDeclarator¿¿345¿path¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":29},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macaddress_0.2.8/macaddress.test.js"}¿¿VariableDeclarator
217¿Literal¿string¿345¿¿'./macaddress'¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":29},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macaddress_0.2.8/macaddress.test.js"}¿¿Literal
218¿TryStatement¿¿345¿¿¿¿{"start":{"line":5,"column":2},"end":{"line":12,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macaddress_0.2.8/macaddress.test.js"}¿¿TryStatement
219¿VariableDeclarator¿¿345¿v19¿¿¿{"start":{"line":6,"column":8},"end":{"line":6,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macaddress_0.2.8/macaddress.test.js"}¿¿VariableDeclarator
220¿CallExpression¿¿345¿¿¿¿{"start":{"line":6,"column":8},"end":{"line":6,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macaddress_0.2.8/macaddress.test.js"}¿¿CallExpression
221¿MemberExpression¿¿345¿¿¿¿{"start":{"line":6,"column":8},"end":{"line":6,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macaddress_0.2.8/macaddress.test.js"}¿¿MemberExpression
222¿Identifier¿¿345¿fs¿¿¿{"start":{"line":6,"column":8},"end":{"line":6,"column":10},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macaddress_0.2.8/macaddress.test.js"}¿¿Identifier
223¿Identifier¿¿345¿existsSync¿¿¿{"start":{"line":6,"column":11},"end":{"line":6,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macaddress_0.2.8/macaddress.test.js"}¿¿Identifier
224¿Identifier¿¿345¿path¿¿¿{"start":{"line":6,"column":22},"end":{"line":6,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macaddress_0.2.8/macaddress.test.js"}¿¿Identifier
