Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
194¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":23,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿Program
195¿VariableDeclarator¿¿333¿v31¿¿¿{"start":{"line":1,"column":39},"end":{"line":23,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿VariableDeclarator
196¿ArrowFunctionExpression¿¿333¿¿¿¿{"start":{"line":1,"column":39},"end":{"line":23,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿ArrowFunctionExpression
197¿Identifier¿¿0¿done¿¿¿{"start":{"line":1,"column":40},"end":{"line":1,"column":44},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿Identifier
198¿VariableDeclarator¿¿335¿v17¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿VariableDeclarator
199¿CallExpression¿¿335¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿CallExpression
200¿MemberExpression¿¿335¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿MemberExpression
201¿Identifier¿¿335¿expect¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿Identifier
202¿Identifier¿¿335¿assertions¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿Identifier
203¿Literal¿number¿335¿¿2¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿Literal
204¿ExpressionStatement¿¿335¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿ExpressionStatement
205¿Identifier¿¿335¿v17¿¿¿¿¿Identifier
206¿VariableDeclarator¿¿335¿a¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":32},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿VariableDeclarator
207¿CallExpression¿¿335¿¿¿¿{"start":{"line":3,"column":12},"end":{"line":3,"column":32},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿CallExpression
208¿Identifier¿¿335¿require¿¿¿{"start":{"line":3,"column":12},"end":{"line":3,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿Identifier
209¿Literal¿string¿335¿¿'macfromip'¿¿{"start":{"line":3,"column":20},"end":{"line":3,"column":31},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿Literal
210¿VariableDeclarator¿¿335¿fs¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿VariableDeclarator
211¿CallExpression¿¿335¿¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿CallExpression
212¿Identifier¿¿335¿require¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿Identifier
213¿Literal¿string¿335¿¿'fs'¿¿{"start":{"line":4,"column":21},"end":{"line":4,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿Literal
214¿VariableDeclarator¿¿335¿path¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":28},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿VariableDeclarator
215¿Literal¿string¿335¿¿'./macfromip'¿¿{"start":{"line":5,"column":15},"end":{"line":5,"column":28},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿Literal
216¿TryStatement¿¿335¿¿¿¿{"start":{"line":6,"column":2},"end":{"line":13,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿TryStatement
217¿VariableDeclarator¿¿335¿v18¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿VariableDeclarator
218¿CallExpression¿¿335¿¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿CallExpression
219¿MemberExpression¿¿335¿¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿MemberExpression
220¿Identifier¿¿335¿fs¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":10},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿Identifier
221¿Identifier¿¿335¿existsSync¿¿¿{"start":{"line":7,"column":11},"end":{"line":7,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿Identifier
222¿Identifier¿¿335¿path¿¿¿{"start":{"line":7,"column":22},"end":{"line":7,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿Identifier
223¿IfStatement¿¿335¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":10,"column":5},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿IfStatement
224¿Identifier¿¿335¿v18¿¿¿¿¿Identifier
225¿VariableDeclarator¿¿335¿v19¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿VariableDeclarator
226¿CallExpression¿¿335¿¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿CallExpression
227¿MemberExpression¿¿335¿¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿MemberExpression
228¿Identifier¿¿335¿fs¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿Identifier
229¿Identifier¿¿335¿unlinkSync¿¿¿{"start":{"line":8,"column":9},"end":{"line":8,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿Identifier
230¿Identifier¿¿335¿path¿¿¿{"start":{"line":8,"column":20},"end":{"line":8,"column":24},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿Identifier
231¿ExpressionStatement¿¿335¿¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿ExpressionStatement
232¿Identifier¿¿335¿v19¿¿¿¿¿Identifier
233¿VariableDeclarator¿¿335¿v20¿¿¿{"start":{"line":9,"column":6},"end":{"line":9,"column":40},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿VariableDeclarator
234¿CallExpression¿¿335¿¿¿¿{"start":{"line":9,"column":6},"end":{"line":9,"column":40},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿CallExpression
235¿MemberExpression¿¿335¿¿¿¿{"start":{"line":9,"column":6},"end":{"line":9,"column":17},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿MemberExpression
236¿Identifier¿¿335¿console¿¿¿{"start":{"line":9,"column":6},"end":{"line":9,"column":13},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿Identifier
237¿Identifier¿¿335¿log¿¿¿{"start":{"line":9,"column":14},"end":{"line":9,"column":17},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿Identifier
238¿Literal¿string¿335¿¿'File removed:'¿¿{"start":{"line":9,"column":18},"end":{"line":9,"column":33},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿Literal
239¿Identifier¿¿335¿path¿¿¿{"start":{"line":9,"column":35},"end":{"line":9,"column":39},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿Identifier
240¿ExpressionStatement¿¿335¿¿¿¿{"start":{"line":9,"column":6},"end":{"line":9,"column":41},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿ExpressionStatement
241¿Identifier¿¿335¿v20¿¿¿¿¿Identifier
242¿BlockStatement¿¿335¿¿¿¿{"start":{"line":7,"column":29},"end":{"line":10,"column":5},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿BlockStatement
243¿BlockStatement¿¿335¿¿¿¿{"start":{"line":6,"column":6},"end":{"line":11,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿BlockStatement
244¿CatchClause¿¿335¿¿¿¿{"start":{"line":11,"column":4},"end":{"line":13,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿CatchClause
245¿VariableDeclarator¿¿335¿v21¿¿¿{"start":{"line":12,"column":4},"end":{"line":12,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿VariableDeclarator
246¿CallExpression¿¿335¿¿¿¿{"start":{"line":12,"column":4},"end":{"line":12,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿CallExpression
247¿MemberExpression¿¿335¿¿¿¿{"start":{"line":12,"column":4},"end":{"line":12,"column":17},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿MemberExpression
248¿Identifier¿¿335¿console¿¿¿{"start":{"line":12,"column":4},"end":{"line":12,"column":11},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿Identifier
249¿Identifier¿¿335¿error¿¿¿{"start":{"line":12,"column":12},"end":{"line":12,"column":17},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿Identifier
250¿Identifier¿¿335¿err¿¿¿{"start":{"line":12,"column":18},"end":{"line":12,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿Identifier
251¿ExpressionStatement¿¿335¿¿¿¿{"start":{"line":12,"column":4},"end":{"line":12,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿ExpressionStatement
252¿Identifier¿¿335¿v21¿¿¿¿¿Identifier
253¿BlockStatement¿¿335¿¿¿¿{"start":{"line":11,"column":16},"end":{"line":13,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿BlockStatement
254¿Identifier¿¿335¿err¿¿¿{"start":{"line":11,"column":11},"end":{"line":11,"column":14},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿Identifier
255¿ExpressionStatement¿¿335¿¿¿¿{"start":{"line":14,"column":2},"end":{"line":14,"column":35},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿ExpressionStatement
256¿AssignmentExpression¿=¿335¿¿¿¿{"start":{"line":14,"column":2},"end":{"line":14,"column":34},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿AssignmentExpression
257¿Identifier¿¿335¿file_exist¿¿¿{"start":{"line":14,"column":2},"end":{"line":14,"column":12},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿Identifier
258¿CallExpression¿¿335¿¿¿¿{"start":{"line":14,"column":15},"end":{"line":14,"column":34},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿CallExpression
259¿MemberExpression¿¿335¿¿¿¿{"start":{"line":14,"column":15},"end":{"line":14,"column":28},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿MemberExpression
260¿Identifier¿¿335¿fs¿¿¿{"start":{"line":14,"column":15},"end":{"line":14,"column":17},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿Identifier
261¿Identifier¿¿335¿existsSync¿¿¿{"start":{"line":14,"column":18},"end":{"line":14,"column":28},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿Identifier
262¿Identifier¿¿335¿path¿¿¿{"start":{"line":14,"column":29},"end":{"line":14,"column":33},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿Identifier
263¿VariableDeclarator¿¿335¿v22¿¿¿{"start":{"line":15,"column":2},"end":{"line":15,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿VariableDeclarator
264¿CallExpression¿¿335¿¿¿¿{"start":{"line":15,"column":2},"end":{"line":15,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿CallExpression
265¿Identifier¿¿335¿expect¿¿¿{"start":{"line":15,"column":2},"end":{"line":15,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿Identifier
266¿Identifier¿¿335¿file_exist¿¿¿{"start":{"line":15,"column":9},"end":{"line":15,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿Identifier
267¿VariableDeclarator¿¿335¿v23¿¿¿{"start":{"line":15,"column":2},"end":{"line":15,"column":32},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿VariableDeclarator
268¿CallExpression¿¿335¿¿¿¿{"start":{"line":15,"column":2},"end":{"line":15,"column":32},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿CallExpression
269¿MemberExpression¿¿335¿¿¿¿{"start":{"line":15,"column":2},"end":{"line":15,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿MemberExpression
270¿Identifier¿¿335¿v22¿¿¿¿¿Identifier
271¿Identifier¿¿335¿toBe¿¿¿{"start":{"line":15,"column":21},"end":{"line":15,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿Identifier
272¿Literal¿boolean¿335¿¿false¿¿{"start":{"line":15,"column":26},"end":{"line":15,"column":31},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿Literal
273¿ExpressionStatement¿¿335¿¿¿¿{"start":{"line":15,"column":2},"end":{"line":15,"column":33},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿ExpressionStatement
274¿Identifier¿¿335¿v23¿¿¿¿¿Identifier
275¿VariableDeclarator¿¿335¿v29¿¿¿{"start":{"line":16,"column":39},"end":{"line":22,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿VariableDeclarator
276¿FunctionExpression¿¿335¿anon¿¿¿{"start":{"line":16,"column":39},"end":{"line":22,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿FunctionExpression
277¿ExpressionStatement¿¿339¿¿¿¿{"start":{"line":17,"column":4},"end":{"line":17,"column":37},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿ExpressionStatement
278¿AssignmentExpression¿=¿339¿¿¿¿{"start":{"line":17,"column":4},"end":{"line":17,"column":36},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿AssignmentExpression
279¿Identifier¿¿339¿file_exist¿¿¿{"start":{"line":17,"column":4},"end":{"line":17,"column":14},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿Identifier
280¿CallExpression¿¿339¿¿¿¿{"start":{"line":17,"column":17},"end":{"line":17,"column":36},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿CallExpression
281¿MemberExpression¿¿339¿¿¿¿{"start":{"line":17,"column":17},"end":{"line":17,"column":30},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿MemberExpression
282¿Identifier¿¿339¿fs¿¿¿{"start":{"line":17,"column":17},"end":{"line":17,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿Identifier
283¿Identifier¿¿339¿existsSync¿¿¿{"start":{"line":17,"column":20},"end":{"line":17,"column":30},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿Identifier
284¿Identifier¿¿339¿path¿¿¿{"start":{"line":17,"column":31},"end":{"line":17,"column":35},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿Identifier
285¿VariableDeclarator¿¿339¿v24¿¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿VariableDeclarator
286¿CallExpression¿¿339¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿CallExpression
287¿Identifier¿¿339¿expect¿¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":10},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿Identifier
288¿Identifier¿¿339¿file_exist¿¿¿{"start":{"line":18,"column":11},"end":{"line":18,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿Identifier
289¿VariableDeclarator¿¿339¿v25¿¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":33},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿VariableDeclarator
290¿CallExpression¿¿339¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":33},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿CallExpression
291¿MemberExpression¿¿339¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿MemberExpression
292¿Identifier¿¿339¿v24¿¿¿¿¿Identifier
293¿Identifier¿¿339¿toBe¿¿¿{"start":{"line":18,"column":23},"end":{"line":18,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿Identifier
294¿Literal¿boolean¿339¿¿true¿¿{"start":{"line":18,"column":28},"end":{"line":18,"column":32},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿Literal
295¿ExpressionStatement¿¿339¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":34},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿ExpressionStatement
296¿Identifier¿¿339¿v25¿¿¿¿¿Identifier
297¿VariableDeclarator¿¿339¿v27¿¿¿{"start":{"line":19,"column":20},"end":{"line":21,"column":5},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿VariableDeclarator
298¿FunctionExpression¿¿339¿anon¿¿¿{"start":{"line":19,"column":20},"end":{"line":21,"column":5},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿FunctionExpression
299¿Identifier¿¿0¿err¿¿¿{"start":{"line":19,"column":30},"end":{"line":19,"column":33},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿Identifier
300¿VariableDeclarator¿¿341¿v26¿¿¿{"start":{"line":20,"column":6},"end":{"line":20,"column":12},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/macfromip_1.1.1/macfromip.test.js"}¿¿VariableDeclarator
