Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
231¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":29,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-df_0.1.4/node-df.test.js"}¿¿Program
232¿VariableDeclarator¿¿396¿v31¿¿¿{"start":{"line":1,"column":37},"end":{"line":29,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-df_0.1.4/node-df.test.js"}¿¿VariableDeclarator
233¿ArrowFunctionExpression¿¿396¿¿¿¿{"start":{"line":1,"column":37},"end":{"line":29,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-df_0.1.4/node-df.test.js"}¿¿ArrowFunctionExpression
234¿Identifier¿¿0¿done¿¿¿{"start":{"line":1,"column":38},"end":{"line":1,"column":42},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-df_0.1.4/node-df.test.js"}¿¿Identifier
235¿VariableDeclarator¿¿398¿v17¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-df_0.1.4/node-df.test.js"}¿¿VariableDeclarator
236¿CallExpression¿¿398¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-df_0.1.4/node-df.test.js"}¿¿CallExpression
237¿MemberExpression¿¿398¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-df_0.1.4/node-df.test.js"}¿¿MemberExpression
238¿Identifier¿¿398¿expect¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-df_0.1.4/node-df.test.js"}¿¿Identifier
239¿Identifier¿¿398¿assertions¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-df_0.1.4/node-df.test.js"}¿¿Identifier
240¿Literal¿number¿398¿¿2¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-df_0.1.4/node-df.test.js"}¿¿Literal
241¿ExpressionStatement¿¿398¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-df_0.1.4/node-df.test.js"}¿¿ExpressionStatement
242¿Identifier¿¿398¿v17¿¿¿¿¿Identifier
243¿VariableDeclarator¿¿398¿df¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":31},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-df_0.1.4/node-df.test.js"}¿¿VariableDeclarator
244¿CallExpression¿¿398¿¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":31},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-df_0.1.4/node-df.test.js"}¿¿CallExpression
245¿Identifier¿¿398¿require¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-df_0.1.4/node-df.test.js"}¿¿Identifier
246¿Literal¿string¿398¿¿'node-df'¿¿{"start":{"line":3,"column":21},"end":{"line":3,"column":30},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-df_0.1.4/node-df.test.js"}¿¿Literal
247¿VariableDeclarator¿¿398¿fs¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-df_0.1.4/node-df.test.js"}¿¿VariableDeclarator
248¿CallExpression¿¿398¿¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-df_0.1.4/node-df.test.js"}¿¿CallExpression
249¿Identifier¿¿398¿require¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-df_0.1.4/node-df.test.js"}¿¿Identifier
250¿Literal¿string¿398¿¿'fs'¿¿{"start":{"line":4,"column":21},"end":{"line":4,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-df_0.1.4/node-df.test.js"}¿¿Literal
251¿VariableDeclarator¿¿398¿path¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-df_0.1.4/node-df.test.js"}¿¿VariableDeclarator
252¿Literal¿string¿398¿¿'./node-df'¿¿{"start":{"line":5,"column":15},"end":{"line":5,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-df_0.1.4/node-df.test.js"}¿¿Literal
253¿TryStatement¿¿398¿¿¿¿{"start":{"line":6,"column":2},"end":{"line":13,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-df_0.1.4/node-df.test.js"}¿¿TryStatement
254¿VariableDeclarator¿¿398¿v18¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-df_0.1.4/node-df.test.js"}¿¿VariableDeclarator
255¿CallExpression¿¿398¿¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-df_0.1.4/node-df.test.js"}¿¿CallExpression
256¿MemberExpression¿¿398¿¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-df_0.1.4/node-df.test.js"}¿¿MemberExpression
257¿Identifier¿¿398¿fs¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":10},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-df_0.1.4/node-df.test.js"}¿¿Identifier
258¿Identifier¿¿398¿existsSync¿¿¿{"start":{"line":7,"column":11},"end":{"line":7,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-df_0.1.4/node-df.test.js"}¿¿Identifier
259¿Identifier¿¿398¿path¿¿¿{"start":{"line":7,"column":22},"end":{"line":7,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-df_0.1.4/node-df.test.js"}¿¿Identifier
260¿IfStatement¿¿398¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":10,"column":5},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-df_0.1.4/node-df.test.js"}¿¿IfStatement
261¿Identifier¿¿398¿v18¿¿¿¿¿Identifier
262¿VariableDeclarator¿¿398¿v19¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-df_0.1.4/node-df.test.js"}¿¿VariableDeclarator
