Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
200¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":22,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-key-sender_1.0.11/node-key-sender.test.js"}¿¿Program
201¿VariableDeclarator¿¿342¿v31¿¿¿{"start":{"line":1,"column":45},"end":{"line":22,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-key-sender_1.0.11/node-key-sender.test.js"}¿¿VariableDeclarator
202¿ArrowFunctionExpression¿¿342¿¿¿¿{"start":{"line":1,"column":45},"end":{"line":22,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-key-sender_1.0.11/node-key-sender.test.js"}¿¿ArrowFunctionExpression
203¿VariableDeclarator¿¿344¿v17¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-key-sender_1.0.11/node-key-sender.test.js"}¿¿VariableDeclarator
204¿CallExpression¿¿344¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-key-sender_1.0.11/node-key-sender.test.js"}¿¿CallExpression
205¿MemberExpression¿¿344¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-key-sender_1.0.11/node-key-sender.test.js"}¿¿MemberExpression
206¿Identifier¿¿344¿expect¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-key-sender_1.0.11/node-key-sender.test.js"}¿¿Identifier
207¿Identifier¿¿344¿assertions¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-key-sender_1.0.11/node-key-sender.test.js"}¿¿Identifier
208¿Literal¿number¿344¿¿2¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-key-sender_1.0.11/node-key-sender.test.js"}¿¿Literal
209¿ExpressionStatement¿¿344¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-key-sender_1.0.11/node-key-sender.test.js"}¿¿ExpressionStatement
210¿Identifier¿¿344¿v17¿¿¿¿¿Identifier
211¿VariableDeclarator¿¿344¿root¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":41},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-key-sender_1.0.11/node-key-sender.test.js"}¿¿VariableDeclarator
212¿CallExpression¿¿344¿¿¿¿{"start":{"line":3,"column":15},"end":{"line":3,"column":41},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-key-sender_1.0.11/node-key-sender.test.js"}¿¿CallExpression
213¿Identifier¿¿344¿require¿¿¿{"start":{"line":3,"column":15},"end":{"line":3,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-key-sender_1.0.11/node-key-sender.test.js"}¿¿Identifier
214¿Literal¿string¿344¿¿'node-key-sender'¿¿{"start":{"line":3,"column":23},"end":{"line":3,"column":40},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-key-sender_1.0.11/node-key-sender.test.js"}¿¿Literal
215¿VariableDeclarator¿¿344¿fs¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-key-sender_1.0.11/node-key-sender.test.js"}¿¿VariableDeclarator
216¿CallExpression¿¿344¿¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-key-sender_1.0.11/node-key-sender.test.js"}¿¿CallExpression
217¿Identifier¿¿344¿require¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-key-sender_1.0.11/node-key-sender.test.js"}¿¿Identifier
218¿Literal¿string¿344¿¿'fs'¿¿{"start":{"line":4,"column":21},"end":{"line":4,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-key-sender_1.0.11/node-key-sender.test.js"}¿¿Literal
219¿VariableDeclarator¿¿344¿path¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":34},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-key-sender_1.0.11/node-key-sender.test.js"}¿¿VariableDeclarator
220¿Literal¿string¿344¿¿'./node-key-sender'¿¿{"start":{"line":5,"column":15},"end":{"line":5,"column":34},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-key-sender_1.0.11/node-key-sender.test.js"}¿¿Literal
221¿TryStatement¿¿344¿¿¿¿{"start":{"line":6,"column":2},"end":{"line":13,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-key-sender_1.0.11/node-key-sender.test.js"}¿¿TryStatement
222¿VariableDeclarator¿¿344¿v18¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-key-sender_1.0.11/node-key-sender.test.js"}¿¿VariableDeclarator
