Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
205¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":23,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-ps_0.0.2/node-ps.test.js"}¿¿Program
206¿VariableDeclarator¿¿352¿v35¿¿¿{"start":{"line":1,"column":37},"end":{"line":23,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-ps_0.0.2/node-ps.test.js"}¿¿VariableDeclarator
207¿ArrowFunctionExpression¿¿352¿¿¿¿{"start":{"line":1,"column":37},"end":{"line":23,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-ps_0.0.2/node-ps.test.js"}¿¿ArrowFunctionExpression
208¿Identifier¿¿0¿done¿¿¿{"start":{"line":1,"column":38},"end":{"line":1,"column":42},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-ps_0.0.2/node-ps.test.js"}¿¿Identifier
209¿VariableDeclarator¿¿354¿v19¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-ps_0.0.2/node-ps.test.js"}¿¿VariableDeclarator
210¿CallExpression¿¿354¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-ps_0.0.2/node-ps.test.js"}¿¿CallExpression
211¿MemberExpression¿¿354¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-ps_0.0.2/node-ps.test.js"}¿¿MemberExpression
212¿Identifier¿¿354¿expect¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-ps_0.0.2/node-ps.test.js"}¿¿Identifier
213¿Identifier¿¿354¿assertions¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-ps_0.0.2/node-ps.test.js"}¿¿Identifier
214¿Literal¿number¿354¿¿2¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-ps_0.0.2/node-ps.test.js"}¿¿Literal
215¿ExpressionStatement¿¿354¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-ps_0.0.2/node-ps.test.js"}¿¿ExpressionStatement
216¿Identifier¿¿354¿v19¿¿¿¿¿Identifier
217¿VariableDeclarator¿¿354¿a¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":30},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-ps_0.0.2/node-ps.test.js"}¿¿VariableDeclarator
218¿CallExpression¿¿354¿¿¿¿{"start":{"line":3,"column":12},"end":{"line":3,"column":30},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-ps_0.0.2/node-ps.test.js"}¿¿CallExpression
219¿Identifier¿¿354¿require¿¿¿{"start":{"line":3,"column":12},"end":{"line":3,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-ps_0.0.2/node-ps.test.js"}¿¿Identifier
220¿Literal¿string¿354¿¿'node-ps'¿¿{"start":{"line":3,"column":20},"end":{"line":3,"column":29},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-ps_0.0.2/node-ps.test.js"}¿¿Literal
221¿VariableDeclarator¿¿354¿fs¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-ps_0.0.2/node-ps.test.js"}¿¿VariableDeclarator
222¿CallExpression¿¿354¿¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-ps_0.0.2/node-ps.test.js"}¿¿CallExpression
223¿Identifier¿¿354¿require¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-ps_0.0.2/node-ps.test.js"}¿¿Identifier
224¿Literal¿string¿354¿¿'fs'¿¿{"start":{"line":4,"column":21},"end":{"line":4,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-ps_0.0.2/node-ps.test.js"}¿¿Literal
225¿VariableDeclarator¿¿354¿path¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-ps_0.0.2/node-ps.test.js"}¿¿VariableDeclarator
226¿Literal¿string¿354¿¿'./node-ps'¿¿{"start":{"line":5,"column":15},"end":{"line":5,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-ps_0.0.2/node-ps.test.js"}¿¿Literal
227¿TryStatement¿¿354¿¿¿¿{"start":{"line":6,"column":2},"end":{"line":13,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-ps_0.0.2/node-ps.test.js"}¿¿TryStatement
228¿VariableDeclarator¿¿354¿v20¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-ps_0.0.2/node-ps.test.js"}¿¿VariableDeclarator
229¿CallExpression¿¿354¿¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-ps_0.0.2/node-ps.test.js"}¿¿CallExpression
230¿MemberExpression¿¿354¿¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-ps_0.0.2/node-ps.test.js"}¿¿MemberExpression
231¿Identifier¿¿354¿fs¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":10},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-ps_0.0.2/node-ps.test.js"}¿¿Identifier
232¿Identifier¿¿354¿existsSync¿¿¿{"start":{"line":7,"column":11},"end":{"line":7,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-ps_0.0.2/node-ps.test.js"}¿¿Identifier
233¿Identifier¿¿354¿path¿¿¿{"start":{"line":7,"column":22},"end":{"line":7,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-ps_0.0.2/node-ps.test.js"}¿¿Identifier
234¿IfStatement¿¿354¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":10,"column":5},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-ps_0.0.2/node-ps.test.js"}¿¿IfStatement
235¿Identifier¿¿354¿v20¿¿¿¿¿Identifier
236¿VariableDeclarator¿¿354¿v21¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-ps_0.0.2/node-ps.test.js"}¿¿VariableDeclarator
237¿CallExpression¿¿354¿¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-ps_0.0.2/node-ps.test.js"}¿¿CallExpression
238¿MemberExpression¿¿354¿¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-ps_0.0.2/node-ps.test.js"}¿¿MemberExpression
239¿Identifier¿¿354¿fs¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-ps_0.0.2/node-ps.test.js"}¿¿Identifier
240¿Identifier¿¿354¿unlinkSync¿¿¿{"start":{"line":8,"column":9},"end":{"line":8,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-ps_0.0.2/node-ps.test.js"}¿¿Identifier
241¿Identifier¿¿354¿path¿¿¿{"start":{"line":8,"column":20},"end":{"line":8,"column":24},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-ps_0.0.2/node-ps.test.js"}¿¿Identifier
242¿ExpressionStatement¿¿354¿¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-ps_0.0.2/node-ps.test.js"}¿¿ExpressionStatement
243¿Identifier¿¿354¿v21¿¿¿¿¿Identifier
244¿VariableDeclarator¿¿354¿v22¿¿¿{"start":{"line":9,"column":6},"end":{"line":9,"column":40},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-ps_0.0.2/node-ps.test.js"}¿¿VariableDeclarator
