Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
210¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":26,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-unrar_0.1.0/node-unrar.test.js"}¿¿Program
211¿VariableDeclarator¿¿361¿v33¿¿¿{"start":{"line":1,"column":44},"end":{"line":26,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-unrar_0.1.0/node-unrar.test.js"}¿¿VariableDeclarator
212¿ArrowFunctionExpression¿¿361¿¿¿¿{"start":{"line":1,"column":44},"end":{"line":26,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-unrar_0.1.0/node-unrar.test.js"}¿¿ArrowFunctionExpression
213¿Identifier¿¿0¿done¿¿¿{"start":{"line":1,"column":45},"end":{"line":1,"column":49},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-unrar_0.1.0/node-unrar.test.js"}¿¿Identifier
214¿VariableDeclarator¿¿363¿v18¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-unrar_0.1.0/node-unrar.test.js"}¿¿VariableDeclarator
215¿CallExpression¿¿363¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-unrar_0.1.0/node-unrar.test.js"}¿¿CallExpression
216¿MemberExpression¿¿363¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-unrar_0.1.0/node-unrar.test.js"}¿¿MemberExpression
217¿Identifier¿¿363¿expect¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-unrar_0.1.0/node-unrar.test.js"}¿¿Identifier
218¿Identifier¿¿363¿assertions¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-unrar_0.1.0/node-unrar.test.js"}¿¿Identifier
219¿Literal¿number¿363¿¿2¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-unrar_0.1.0/node-unrar.test.js"}¿¿Literal
220¿ExpressionStatement¿¿363¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-unrar_0.1.0/node-unrar.test.js"}¿¿ExpressionStatement
221¿Identifier¿¿363¿v18¿¿¿¿¿Identifier
222¿VariableDeclarator¿¿363¿Unrar¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":37},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-unrar_0.1.0/node-unrar.test.js"}¿¿VariableDeclarator
223¿CallExpression¿¿363¿¿¿¿{"start":{"line":3,"column":16},"end":{"line":3,"column":37},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-unrar_0.1.0/node-unrar.test.js"}¿¿CallExpression
224¿Identifier¿¿363¿require¿¿¿{"start":{"line":3,"column":16},"end":{"line":3,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-unrar_0.1.0/node-unrar.test.js"}¿¿Identifier
225¿Literal¿string¿363¿¿'node-unrar'¿¿{"start":{"line":3,"column":24},"end":{"line":3,"column":36},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-unrar_0.1.0/node-unrar.test.js"}¿¿Literal
226¿VariableDeclarator¿¿363¿fs¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-unrar_0.1.0/node-unrar.test.js"}¿¿VariableDeclarator
227¿CallExpression¿¿363¿¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-unrar_0.1.0/node-unrar.test.js"}¿¿CallExpression
228¿Identifier¿¿363¿require¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-unrar_0.1.0/node-unrar.test.js"}¿¿Identifier
229¿Literal¿string¿363¿¿'fs'¿¿{"start":{"line":4,"column":21},"end":{"line":4,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-unrar_0.1.0/node-unrar.test.js"}¿¿Literal
230¿VariableDeclarator¿¿363¿path¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":29},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-unrar_0.1.0/node-unrar.test.js"}¿¿VariableDeclarator
231¿Literal¿string¿363¿¿'./node-unrar'¿¿{"start":{"line":5,"column":15},"end":{"line":5,"column":29},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-unrar_0.1.0/node-unrar.test.js"}¿¿Literal
232¿TryStatement¿¿363¿¿¿¿{"start":{"line":6,"column":2},"end":{"line":13,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-unrar_0.1.0/node-unrar.test.js"}¿¿TryStatement
233¿VariableDeclarator¿¿363¿v19¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-unrar_0.1.0/node-unrar.test.js"}¿¿VariableDeclarator
234¿CallExpression¿¿363¿¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-unrar_0.1.0/node-unrar.test.js"}¿¿CallExpression
235¿MemberExpression¿¿363¿¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-unrar_0.1.0/node-unrar.test.js"}¿¿MemberExpression
236¿Identifier¿¿363¿fs¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":10},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-unrar_0.1.0/node-unrar.test.js"}¿¿Identifier
237¿Identifier¿¿363¿existsSync¿¿¿{"start":{"line":7,"column":11},"end":{"line":7,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-unrar_0.1.0/node-unrar.test.js"}¿¿Identifier
238¿Identifier¿¿363¿path¿¿¿{"start":{"line":7,"column":22},"end":{"line":7,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-unrar_0.1.0/node-unrar.test.js"}¿¿Identifier
239¿IfStatement¿¿363¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":10,"column":5},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-unrar_0.1.0/node-unrar.test.js"}¿¿IfStatement
240¿Identifier¿¿363¿v19¿¿¿¿¿Identifier
241¿VariableDeclarator¿¿363¿v20¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-unrar_0.1.0/node-unrar.test.js"}¿¿VariableDeclarator
242¿CallExpression¿¿363¿¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-unrar_0.1.0/node-unrar.test.js"}¿¿CallExpression
243¿MemberExpression¿¿363¿¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-unrar_0.1.0/node-unrar.test.js"}¿¿MemberExpression
244¿Identifier¿¿363¿fs¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-unrar_0.1.0/node-unrar.test.js"}¿¿Identifier
245¿Identifier¿¿363¿unlinkSync¿¿¿{"start":{"line":8,"column":9},"end":{"line":8,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-unrar_0.1.0/node-unrar.test.js"}¿¿Identifier
246¿Identifier¿¿363¿path¿¿¿{"start":{"line":8,"column":20},"end":{"line":8,"column":24},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-unrar_0.1.0/node-unrar.test.js"}¿¿Identifier
247¿ExpressionStatement¿¿363¿¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/node-unrar_0.1.0/node-unrar.test.js"}¿¿ExpressionStatement
248¿Identifier¿¿363¿v20¿¿¿¿¿Identifier
