Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
189¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":22,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/npm-help_1.0.0/npm-help.test.js"}¿¿Program
190¿VariableDeclarator¿¿328¿v29¿¿¿{"start":{"line":1,"column":38},"end":{"line":22,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/npm-help_1.0.0/npm-help.test.js"}¿¿VariableDeclarator
191¿ArrowFunctionExpression¿¿328¿¿¿¿{"start":{"line":1,"column":38},"end":{"line":22,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/npm-help_1.0.0/npm-help.test.js"}¿¿ArrowFunctionExpression
192¿VariableDeclarator¿¿330¿v16¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/npm-help_1.0.0/npm-help.test.js"}¿¿VariableDeclarator
193¿CallExpression¿¿330¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/npm-help_1.0.0/npm-help.test.js"}¿¿CallExpression
194¿MemberExpression¿¿330¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/npm-help_1.0.0/npm-help.test.js"}¿¿MemberExpression
195¿Identifier¿¿330¿expect¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/npm-help_1.0.0/npm-help.test.js"}¿¿Identifier
196¿Identifier¿¿330¿assertions¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/npm-help_1.0.0/npm-help.test.js"}¿¿Identifier
197¿Literal¿number¿330¿¿2¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/npm-help_1.0.0/npm-help.test.js"}¿¿Literal
198¿ExpressionStatement¿¿330¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/npm-help_1.0.0/npm-help.test.js"}¿¿ExpressionStatement
199¿Identifier¿¿330¿v16¿¿¿¿¿Identifier
200¿VariableDeclarator¿¿330¿root¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":34},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/npm-help_1.0.0/npm-help.test.js"}¿¿VariableDeclarator
201¿CallExpression¿¿330¿¿¿¿{"start":{"line":3,"column":15},"end":{"line":3,"column":34},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/npm-help_1.0.0/npm-help.test.js"}¿¿CallExpression
202¿Identifier¿¿330¿require¿¿¿{"start":{"line":3,"column":15},"end":{"line":3,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/npm-help_1.0.0/npm-help.test.js"}¿¿Identifier
203¿Literal¿string¿330¿¿'npm-help'¿¿{"start":{"line":3,"column":23},"end":{"line":3,"column":33},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/npm-help_1.0.0/npm-help.test.js"}¿¿Literal
204¿VariableDeclarator¿¿330¿fs¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/npm-help_1.0.0/npm-help.test.js"}¿¿VariableDeclarator
205¿CallExpression¿¿330¿¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/npm-help_1.0.0/npm-help.test.js"}¿¿CallExpression
206¿Identifier¿¿330¿require¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/npm-help_1.0.0/npm-help.test.js"}¿¿Identifier
207¿Literal¿string¿330¿¿'fs'¿¿{"start":{"line":4,"column":21},"end":{"line":4,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/npm-help_1.0.0/npm-help.test.js"}¿¿Literal
208¿VariableDeclarator¿¿330¿path¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/npm-help_1.0.0/npm-help.test.js"}¿¿VariableDeclarator
209¿Literal¿string¿330¿¿'./npm-help'¿¿{"start":{"line":5,"column":15},"end":{"line":5,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/npm-help_1.0.0/npm-help.test.js"}¿¿Literal
210¿TryStatement¿¿330¿¿¿¿{"start":{"line":6,"column":2},"end":{"line":13,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/npm-help_1.0.0/npm-help.test.js"}¿¿TryStatement
211¿VariableDeclarator¿¿330¿v17¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/npm-help_1.0.0/npm-help.test.js"}¿¿VariableDeclarator
