Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
196¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":21,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/onion-oled-js_0.0.2/onion-old-js.test.js"}¿¿Program
197¿VariableDeclarator¿¿336¿v33¿¿¿{"start":{"line":1,"column":43},"end":{"line":21,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/onion-oled-js_0.0.2/onion-old-js.test.js"}¿¿VariableDeclarator
198¿ArrowFunctionExpression¿¿336¿¿¿¿{"start":{"line":1,"column":43},"end":{"line":21,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/onion-oled-js_0.0.2/onion-old-js.test.js"}¿¿ArrowFunctionExpression
199¿VariableDeclarator¿¿338¿v18¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/onion-oled-js_0.0.2/onion-old-js.test.js"}¿¿VariableDeclarator
200¿CallExpression¿¿338¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/onion-oled-js_0.0.2/onion-old-js.test.js"}¿¿CallExpression
201¿MemberExpression¿¿338¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/onion-oled-js_0.0.2/onion-old-js.test.js"}¿¿MemberExpression
202¿Identifier¿¿338¿expect¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/onion-oled-js_0.0.2/onion-old-js.test.js"}¿¿Identifier
203¿Identifier¿¿338¿assertions¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/onion-oled-js_0.0.2/onion-old-js.test.js"}¿¿Identifier
204¿Literal¿number¿338¿¿2¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/onion-oled-js_0.0.2/onion-old-js.test.js"}¿¿Literal
205¿ExpressionStatement¿¿338¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/onion-oled-js_0.0.2/onion-old-js.test.js"}¿¿ExpressionStatement
206¿Identifier¿¿338¿v18¿¿¿¿¿Identifier
207¿VariableDeclarator¿¿338¿v19¿¿¿{"start":{"line":3,"column":18},"end":{"line":3,"column":42},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/onion-oled-js_0.0.2/onion-old-js.test.js"}¿¿VariableDeclarator
208¿CallExpression¿¿338¿¿¿¿{"start":{"line":3,"column":18},"end":{"line":3,"column":42},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/onion-oled-js_0.0.2/onion-old-js.test.js"}¿¿CallExpression
209¿Identifier¿¿338¿require¿¿¿{"start":{"line":3,"column":18},"end":{"line":3,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/onion-oled-js_0.0.2/onion-old-js.test.js"}¿¿Identifier
210¿Literal¿string¿338¿¿'onion-oled-js'¿¿{"start":{"line":3,"column":26},"end":{"line":3,"column":41},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/onion-oled-js_0.0.2/onion-old-js.test.js"}¿¿Literal
211¿VariableDeclarator¿¿338¿OLEDExp¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":50},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/onion-oled-js_0.0.2/onion-old-js.test.js"}¿¿VariableDeclarator
212¿MemberExpression¿¿338¿¿¿¿{"start":{"line":3,"column":18},"end":{"line":3,"column":50},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/onion-oled-js_0.0.2/onion-old-js.test.js"}¿¿MemberExpression
213¿Identifier¿¿338¿v19¿¿¿¿¿Identifier
214¿Identifier¿¿338¿OLEDExp¿¿¿{"start":{"line":3,"column":43},"end":{"line":3,"column":50},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/onion-oled-js_0.0.2/onion-old-js.test.js"}¿¿Identifier
215¿VariableDeclarator¿¿338¿fs¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/onion-oled-js_0.0.2/onion-old-js.test.js"}¿¿VariableDeclarator
216¿CallExpression¿¿338¿¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/onion-oled-js_0.0.2/onion-old-js.test.js"}¿¿CallExpression
217¿Identifier¿¿338¿require¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/onion-oled-js_0.0.2/onion-old-js.test.js"}¿¿Identifier
218¿Literal¿string¿338¿¿'fs'¿¿{"start":{"line":4,"column":21},"end":{"line":4,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/onion-oled-js_0.0.2/onion-old-js.test.js"}¿¿Literal
219¿VariableDeclarator¿¿338¿path¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":32},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/onion-oled-js_0.0.2/onion-old-js.test.js"}¿¿VariableDeclarator
220¿Literal¿string¿338¿¿'./onion-oled-js'¿¿{"start":{"line":5,"column":15},"end":{"line":5,"column":32},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/onion-oled-js_0.0.2/onion-old-js.test.js"}¿¿Literal
221¿TryStatement¿¿338¿¿¿¿{"start":{"line":6,"column":2},"end":{"line":13,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/onion-oled-js_0.0.2/onion-old-js.test.js"}¿¿TryStatement
222¿VariableDeclarator¿¿338¿v20¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/onion-oled-js_0.0.2/onion-old-js.test.js"}¿¿VariableDeclarator
223¿CallExpression¿¿338¿¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/onion-oled-js_0.0.2/onion-old-js.test.js"}¿¿CallExpression
224¿MemberExpression¿¿338¿¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/onion-oled-js_0.0.2/onion-old-js.test.js"}¿¿MemberExpression
225¿Identifier¿¿338¿fs¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":10},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/onion-oled-js_0.0.2/onion-old-js.test.js"}¿¿Identifier
226¿Identifier¿¿338¿existsSync¿¿¿{"start":{"line":7,"column":11},"end":{"line":7,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/onion-oled-js_0.0.2/onion-old-js.test.js"}¿¿Identifier
227¿Identifier¿¿338¿path¿¿¿{"start":{"line":7,"column":22},"end":{"line":7,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/onion-oled-js_0.0.2/onion-old-js.test.js"}¿¿Identifier
228¿IfStatement¿¿338¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":10,"column":5},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/onion-oled-js_0.0.2/onion-old-js.test.js"}¿¿IfStatement
229¿Identifier¿¿338¿v20¿¿¿¿¿Identifier
230¿VariableDeclarator¿¿338¿v21¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/onion-oled-js_0.0.2/onion-old-js.test.js"}¿¿VariableDeclarator
231¿CallExpression¿¿338¿¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/onion-oled-js_0.0.2/onion-old-js.test.js"}¿¿CallExpression
232¿MemberExpression¿¿338¿¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/onion-oled-js_0.0.2/onion-old-js.test.js"}¿¿MemberExpression
233¿Identifier¿¿338¿fs¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/onion-oled-js_0.0.2/onion-old-js.test.js"}¿¿Identifier
234¿Identifier¿¿338¿unlinkSync¿¿¿{"start":{"line":8,"column":9},"end":{"line":8,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/onion-oled-js_0.0.2/onion-old-js.test.js"}¿¿Identifier
235¿Identifier¿¿338¿path¿¿¿{"start":{"line":8,"column":20},"end":{"line":8,"column":24},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/onion-oled-js_0.0.2/onion-old-js.test.js"}¿¿Identifier
236¿ExpressionStatement¿¿338¿¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/onion-oled-js_0.0.2/onion-old-js.test.js"}¿¿ExpressionStatement
237¿Identifier¿¿338¿v21¿¿¿¿¿Identifier
238¿VariableDeclarator¿¿338¿v22¿¿¿{"start":{"line":9,"column":6},"end":{"line":9,"column":40},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/onion-oled-js_0.0.2/onion-old-js.test.js"}¿¿VariableDeclarator
239¿CallExpression¿¿338¿¿¿¿{"start":{"line":9,"column":6},"end":{"line":9,"column":40},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/onion-oled-js_0.0.2/onion-old-js.test.js"}¿¿CallExpression
240¿MemberExpression¿¿338¿¿¿¿{"start":{"line":9,"column":6},"end":{"line":9,"column":17},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/onion-oled-js_0.0.2/onion-old-js.test.js"}¿¿MemberExpression
241¿Identifier¿¿338¿console¿¿¿{"start":{"line":9,"column":6},"end":{"line":9,"column":13},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/onion-oled-js_0.0.2/onion-old-js.test.js"}¿¿Identifier
242¿Identifier¿¿338¿log¿¿¿{"start":{"line":9,"column":14},"end":{"line":9,"column":17},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/onion-oled-js_0.0.2/onion-old-js.test.js"}¿¿Identifier
243¿Literal¿string¿338¿¿'File removed:'¿¿{"start":{"line":9,"column":18},"end":{"line":9,"column":33},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/onion-oled-js_0.0.2/onion-old-js.test.js"}¿¿Literal
244¿Identifier¿¿338¿path¿¿¿{"start":{"line":9,"column":35},"end":{"line":9,"column":39},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/onion-oled-js_0.0.2/onion-old-js.test.js"}¿¿Identifier
245¿ExpressionStatement¿¿338¿¿¿¿{"start":{"line":9,"column":6},"end":{"line":9,"column":41},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/onion-oled-js_0.0.2/onion-old-js.test.js"}¿¿ExpressionStatement
246¿Identifier¿¿338¿v22¿¿¿¿¿Identifier
247¿BlockStatement¿¿338¿¿¿¿{"start":{"line":7,"column":29},"end":{"line":10,"column":5},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/onion-oled-js_0.0.2/onion-old-js.test.js"}¿¿BlockStatement
248¿BlockStatement¿¿338¿¿¿¿{"start":{"line":6,"column":6},"end":{"line":11,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/onion-oled-js_0.0.2/onion-old-js.test.js"}¿¿BlockStatement
