Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
198¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":23,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/open_0.0.5/open.test.js"}¿¿Program
199¿VariableDeclarator¿¿340¿v35¿¿¿{"start":{"line":1,"column":34},"end":{"line":23,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/open_0.0.5/open.test.js"}¿¿VariableDeclarator
200¿ArrowFunctionExpression¿¿340¿¿¿¿{"start":{"line":1,"column":34},"end":{"line":23,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/open_0.0.5/open.test.js"}¿¿ArrowFunctionExpression
201¿Identifier¿¿0¿done¿¿¿{"start":{"line":1,"column":35},"end":{"line":1,"column":39},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/open_0.0.5/open.test.js"}¿¿Identifier
202¿VariableDeclarator¿¿342¿v19¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/open_0.0.5/open.test.js"}¿¿VariableDeclarator
203¿CallExpression¿¿342¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/open_0.0.5/open.test.js"}¿¿CallExpression
204¿MemberExpression¿¿342¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/open_0.0.5/open.test.js"}¿¿MemberExpression
205¿Identifier¿¿342¿expect¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/open_0.0.5/open.test.js"}¿¿Identifier
206¿Identifier¿¿342¿assertions¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/open_0.0.5/open.test.js"}¿¿Identifier
207¿Literal¿number¿342¿¿2¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/open_0.0.5/open.test.js"}¿¿Literal
208¿ExpressionStatement¿¿342¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/open_0.0.5/open.test.js"}¿¿ExpressionStatement
209¿Identifier¿¿342¿v19¿¿¿¿¿Identifier
210¿VariableDeclarator¿¿342¿fs¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/open_0.0.5/open.test.js"}¿¿VariableDeclarator
211¿CallExpression¿¿342¿¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/open_0.0.5/open.test.js"}¿¿CallExpression
212¿Identifier¿¿342¿require¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/open_0.0.5/open.test.js"}¿¿Identifier
213¿Literal¿string¿342¿¿'fs'¿¿{"start":{"line":3,"column":21},"end":{"line":3,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/open_0.0.5/open.test.js"}¿¿Literal
214¿VariableDeclarator¿¿342¿path¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/open_0.0.5/open.test.js"}¿¿VariableDeclarator
215¿Literal¿string¿342¿¿'./open'¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/open_0.0.5/open.test.js"}¿¿Literal
