Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
211¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":24,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/pdf-image_1.0.5/pdf-image.test.js"}¿¿Program
212¿VariableDeclarator¿¿362¿v33¿¿¿{"start":{"line":1,"column":39},"end":{"line":24,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/pdf-image_1.0.5/pdf-image.test.js"}¿¿VariableDeclarator
213¿ArrowFunctionExpression¿¿362¿¿¿¿{"start":{"line":1,"column":39},"end":{"line":24,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/pdf-image_1.0.5/pdf-image.test.js"}¿¿ArrowFunctionExpression
214¿VariableDeclarator¿¿364¿v18¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/pdf-image_1.0.5/pdf-image.test.js"}¿¿VariableDeclarator
215¿CallExpression¿¿364¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/pdf-image_1.0.5/pdf-image.test.js"}¿¿CallExpression
216¿MemberExpression¿¿364¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/pdf-image_1.0.5/pdf-image.test.js"}¿¿MemberExpression
217¿Identifier¿¿364¿expect¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/pdf-image_1.0.5/pdf-image.test.js"}¿¿Identifier
218¿Identifier¿¿364¿assertions¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/pdf-image_1.0.5/pdf-image.test.js"}¿¿Identifier
219¿Literal¿number¿364¿¿2¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/pdf-image_1.0.5/pdf-image.test.js"}¿¿Literal
220¿ExpressionStatement¿¿364¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/pdf-image_1.0.5/pdf-image.test.js"}¿¿ExpressionStatement
221¿Identifier¿¿364¿v18¿¿¿¿¿Identifier
