Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
196¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":24,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/portkiller_1.0.2/portkiller.test.js"}¿¿Program
197¿VariableDeclarator¿¿336¿v33¿¿¿{"start":{"line":1,"column":40},"end":{"line":24,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/portkiller_1.0.2/portkiller.test.js"}¿¿VariableDeclarator
198¿ArrowFunctionExpression¿¿336¿¿¿¿{"start":{"line":1,"column":40},"end":{"line":24,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/portkiller_1.0.2/portkiller.test.js"}¿¿ArrowFunctionExpression
199¿Identifier¿¿0¿done¿¿¿{"start":{"line":1,"column":41},"end":{"line":1,"column":45},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/portkiller_1.0.2/portkiller.test.js"}¿¿Identifier
200¿VariableDeclarator¿¿338¿v18¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/portkiller_1.0.2/portkiller.test.js"}¿¿VariableDeclarator
201¿CallExpression¿¿338¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/portkiller_1.0.2/portkiller.test.js"}¿¿CallExpression
202¿MemberExpression¿¿338¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/portkiller_1.0.2/portkiller.test.js"}¿¿MemberExpression
203¿Identifier¿¿338¿expect¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/portkiller_1.0.2/portkiller.test.js"}¿¿Identifier
204¿Identifier¿¿338¿assertions¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/portkiller_1.0.2/portkiller.test.js"}¿¿Identifier
205¿Literal¿number¿338¿¿2¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/portkiller_1.0.2/portkiller.test.js"}¿¿Literal
