Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
191¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":21,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/portprocesses_1.0.4/portprocesses.test.js"}¿¿Program
192¿VariableDeclarator¿¿328¿v31¿¿¿{"start":{"line":1,"column":43},"end":{"line":21,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/portprocesses_1.0.4/portprocesses.test.js"}¿¿VariableDeclarator
193¿ArrowFunctionExpression¿¿328¿¿¿¿{"start":{"line":1,"column":43},"end":{"line":21,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/portprocesses_1.0.4/portprocesses.test.js"}¿¿ArrowFunctionExpression
194¿VariableDeclarator¿¿330¿v17¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/portprocesses_1.0.4/portprocesses.test.js"}¿¿VariableDeclarator
195¿CallExpression¿¿330¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/portprocesses_1.0.4/portprocesses.test.js"}¿¿CallExpression
196¿MemberExpression¿¿330¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/portprocesses_1.0.4/portprocesses.test.js"}¿¿MemberExpression
197¿Identifier¿¿330¿expect¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/portprocesses_1.0.4/portprocesses.test.js"}¿¿Identifier
198¿Identifier¿¿330¿assertions¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/portprocesses_1.0.4/portprocesses.test.js"}¿¿Identifier
199¿Literal¿number¿330¿¿2¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/portprocesses_1.0.4/portprocesses.test.js"}¿¿Literal
200¿ExpressionStatement¿¿330¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/portprocesses_1.0.4/portprocesses.test.js"}¿¿ExpressionStatement
201¿Identifier¿¿330¿v17¿¿¿¿¿Identifier
202¿VariableDeclarator¿¿330¿portprocesses¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":48},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/portprocesses_1.0.4/portprocesses.test.js"}¿¿VariableDeclarator
203¿CallExpression¿¿330¿¿¿¿{"start":{"line":3,"column":24},"end":{"line":3,"column":48},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/portprocesses_1.0.4/portprocesses.test.js"}¿¿CallExpression
204¿Identifier¿¿330¿require¿¿¿{"start":{"line":3,"column":24},"end":{"line":3,"column":31},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/portprocesses_1.0.4/portprocesses.test.js"}¿¿Identifier
