Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
204¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":23,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/ps_0.0.2/ps.test.js"}¿¿Program
205¿VariableDeclarator¿¿350¿v33¿¿¿{"start":{"line":1,"column":32},"end":{"line":23,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/ps_0.0.2/ps.test.js"}¿¿VariableDeclarator
206¿ArrowFunctionExpression¿¿350¿¿¿¿{"start":{"line":1,"column":32},"end":{"line":23,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/ps_0.0.2/ps.test.js"}¿¿ArrowFunctionExpression
207¿Identifier¿¿0¿done¿¿¿{"start":{"line":1,"column":33},"end":{"line":1,"column":37},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/ps_0.0.2/ps.test.js"}¿¿Identifier
208¿VariableDeclarator¿¿352¿v18¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/ps_0.0.2/ps.test.js"}¿¿VariableDeclarator
209¿CallExpression¿¿352¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/ps_0.0.2/ps.test.js"}¿¿CallExpression
210¿MemberExpression¿¿352¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/ps_0.0.2/ps.test.js"}¿¿MemberExpression
211¿Identifier¿¿352¿expect¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/ps_0.0.2/ps.test.js"}¿¿Identifier
212¿Identifier¿¿352¿assertions¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/ps_0.0.2/ps.test.js"}¿¿Identifier
213¿Literal¿number¿352¿¿2¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/ps_0.0.2/ps.test.js"}¿¿Literal
214¿ExpressionStatement¿¿352¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/ps_0.0.2/ps.test.js"}¿¿ExpressionStatement
