Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
239¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":30,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/scp_0.0.3/scp.test.js"}¿¿Program
240¿VariableDeclarator¿¿411¿v31¿¿¿{"start":{"line":1,"column":33},"end":{"line":30,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/scp_0.0.3/scp.test.js"}¿¿VariableDeclarator
241¿ArrowFunctionExpression¿¿411¿¿¿¿{"start":{"line":1,"column":33},"end":{"line":30,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/scp_0.0.3/scp.test.js"}¿¿ArrowFunctionExpression
242¿Identifier¿¿0¿done¿¿¿{"start":{"line":1,"column":34},"end":{"line":1,"column":38},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/scp_0.0.3/scp.test.js"}¿¿Identifier
243¿VariableDeclarator¿¿413¿v17¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/scp_0.0.3/scp.test.js"}¿¿VariableDeclarator
244¿CallExpression¿¿413¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/scp_0.0.3/scp.test.js"}¿¿CallExpression
245¿MemberExpression¿¿413¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/scp_0.0.3/scp.test.js"}¿¿MemberExpression
246¿Identifier¿¿413¿expect¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/scp_0.0.3/scp.test.js"}¿¿Identifier
247¿Identifier¿¿413¿assertions¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/scp_0.0.3/scp.test.js"}¿¿Identifier
248¿Literal¿number¿413¿¿2¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/scp_0.0.3/scp.test.js"}¿¿Literal
