Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
223¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":33,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/strider-git_1.0.3/strider-git.test.js"}¿¿Program
224¿VariableDeclarator¿¿385¿v35¿¿¿{"start":{"line":1,"column":41},"end":{"line":33,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/strider-git_1.0.3/strider-git.test.js"}¿¿VariableDeclarator
225¿ArrowFunctionExpression¿¿385¿¿¿¿{"start":{"line":1,"column":41},"end":{"line":33,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/strider-git_1.0.3/strider-git.test.js"}¿¿ArrowFunctionExpression
226¿Identifier¿¿0¿done¿¿¿{"start":{"line":1,"column":42},"end":{"line":1,"column":46},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/strider-git_1.0.3/strider-git.test.js"}¿¿Identifier
227¿VariableDeclarator¿¿387¿v19¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/strider-git_1.0.3/strider-git.test.js"}¿¿VariableDeclarator
228¿CallExpression¿¿387¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/strider-git_1.0.3/strider-git.test.js"}¿¿CallExpression
229¿MemberExpression¿¿387¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/strider-git_1.0.3/strider-git.test.js"}¿¿MemberExpression
230¿Identifier¿¿387¿expect¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/strider-git_1.0.3/strider-git.test.js"}¿¿Identifier
231¿Identifier¿¿387¿assertions¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/strider-git_1.0.3/strider-git.test.js"}¿¿Identifier
232¿Literal¿number¿387¿¿2¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/strider-git_1.0.3/strider-git.test.js"}¿¿Literal
233¿ExpressionStatement¿¿387¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/strider-git_1.0.3/strider-git.test.js"}¿¿ExpressionStatement
234¿Identifier¿¿387¿v19¿¿¿¿¿Identifier
235¿VariableDeclarator¿¿387¿git¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":40},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/strider-git_1.0.3/strider-git.test.js"}¿¿VariableDeclarator
236¿CallExpression¿¿387¿¿¿¿{"start":{"line":3,"column":14},"end":{"line":3,"column":40},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/strider-git_1.0.3/strider-git.test.js"}¿¿CallExpression
237¿Identifier¿¿387¿require¿¿¿{"start":{"line":3,"column":14},"end":{"line":3,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/strider-git_1.0.3/strider-git.test.js"}¿¿Identifier
238¿Literal¿string¿387¿¿'strider-git/lib'¿¿{"start":{"line":3,"column":22},"end":{"line":3,"column":39},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/strider-git_1.0.3/strider-git.test.js"}¿¿Literal
239¿VariableDeclarator¿¿387¿fs¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/strider-git_1.0.3/strider-git.test.js"}¿¿VariableDeclarator
240¿CallExpression¿¿387¿¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/strider-git_1.0.3/strider-git.test.js"}¿¿CallExpression
241¿Identifier¿¿387¿require¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/strider-git_1.0.3/strider-git.test.js"}¿¿Identifier
242¿Literal¿string¿387¿¿'fs'¿¿{"start":{"line":4,"column":21},"end":{"line":4,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/strider-git_1.0.3/strider-git.test.js"}¿¿Literal
243¿VariableDeclarator¿¿387¿path¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":30},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/strider-git_1.0.3/strider-git.test.js"}¿¿VariableDeclarator
244¿Literal¿string¿387¿¿'./strider-git'¿¿{"start":{"line":5,"column":15},"end":{"line":5,"column":30},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/strider-git_1.0.3/strider-git.test.js"}¿¿Literal
