Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
200¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":22,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/theme-core_0.2.5/theme-core.test.js"}¿¿Program
201¿VariableDeclarator¿¿344¿v33¿¿¿{"start":{"line":1,"column":40},"end":{"line":22,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/theme-core_0.2.5/theme-core.test.js"}¿¿VariableDeclarator
202¿ArrowFunctionExpression¿¿344¿¿¿¿{"start":{"line":1,"column":40},"end":{"line":22,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/theme-core_0.2.5/theme-core.test.js"}¿¿ArrowFunctionExpression
203¿Identifier¿¿0¿done¿¿¿{"start":{"line":1,"column":41},"end":{"line":1,"column":45},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/theme-core_0.2.5/theme-core.test.js"}¿¿Identifier
204¿VariableDeclarator¿¿346¿v18¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/theme-core_0.2.5/theme-core.test.js"}¿¿VariableDeclarator
205¿CallExpression¿¿346¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/theme-core_0.2.5/theme-core.test.js"}¿¿CallExpression
206¿MemberExpression¿¿346¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/theme-core_0.2.5/theme-core.test.js"}¿¿MemberExpression
207¿Identifier¿¿346¿expect¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/theme-core_0.2.5/theme-core.test.js"}¿¿Identifier
208¿Identifier¿¿346¿assertions¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/theme-core_0.2.5/theme-core.test.js"}¿¿Identifier
209¿Literal¿number¿346¿¿2¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/theme-core_0.2.5/theme-core.test.js"}¿¿Literal
210¿ExpressionStatement¿¿346¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/theme-core_0.2.5/theme-core.test.js"}¿¿ExpressionStatement
211¿Identifier¿¿346¿v18¿¿¿¿¿Identifier
212¿VariableDeclarator¿¿346¿a¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":33},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/theme-core_0.2.5/theme-core.test.js"}¿¿VariableDeclarator
213¿CallExpression¿¿346¿¿¿¿{"start":{"line":3,"column":12},"end":{"line":3,"column":33},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/theme-core_0.2.5/theme-core.test.js"}¿¿CallExpression
214¿Identifier¿¿346¿require¿¿¿{"start":{"line":3,"column":12},"end":{"line":3,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/theme-core_0.2.5/theme-core.test.js"}¿¿Identifier
215¿Literal¿string¿346¿¿'theme-core'¿¿{"start":{"line":3,"column":20},"end":{"line":3,"column":32},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/theme-core_0.2.5/theme-core.test.js"}¿¿Literal
216¿VariableDeclarator¿¿346¿fs¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/theme-core_0.2.5/theme-core.test.js"}¿¿VariableDeclarator
217¿CallExpression¿¿346¿¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/theme-core_0.2.5/theme-core.test.js"}¿¿CallExpression
218¿Identifier¿¿346¿require¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/theme-core_0.2.5/theme-core.test.js"}¿¿Identifier
219¿Literal¿string¿346¿¿'fs'¿¿{"start":{"line":4,"column":21},"end":{"line":4,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/theme-core_0.2.5/theme-core.test.js"}¿¿Literal
220¿VariableDeclarator¿¿346¿path¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":29},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/theme-core_0.2.5/theme-core.test.js"}¿¿VariableDeclarator
221¿Literal¿string¿346¿¿'./theme-core'¿¿{"start":{"line":5,"column":15},"end":{"line":5,"column":29},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/theme-core_0.2.5/theme-core.test.js"}¿¿Literal
222¿TryStatement¿¿346¿¿¿¿{"start":{"line":6,"column":2},"end":{"line":13,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/theme-core_0.2.5/theme-core.test.js"}¿¿TryStatement
223¿VariableDeclarator¿¿346¿v19¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/theme-core_0.2.5/theme-core.test.js"}¿¿VariableDeclarator
224¿CallExpression¿¿346¿¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/theme-core_0.2.5/theme-core.test.js"}¿¿CallExpression
225¿MemberExpression¿¿346¿¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/theme-core_0.2.5/theme-core.test.js"}¿¿MemberExpression
226¿Identifier¿¿346¿fs¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":10},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/theme-core_0.2.5/theme-core.test.js"}¿¿Identifier
227¿Identifier¿¿346¿existsSync¿¿¿{"start":{"line":7,"column":11},"end":{"line":7,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/theme-core_0.2.5/theme-core.test.js"}¿¿Identifier
228¿Identifier¿¿346¿path¿¿¿{"start":{"line":7,"column":22},"end":{"line":7,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/theme-core_0.2.5/theme-core.test.js"}¿¿Identifier
229¿IfStatement¿¿346¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":10,"column":5},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/theme-core_0.2.5/theme-core.test.js"}¿¿IfStatement
230¿Identifier¿¿346¿v19¿¿¿¿¿Identifier
231¿VariableDeclarator¿¿346¿v20¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/theme-core_0.2.5/theme-core.test.js"}¿¿VariableDeclarator
232¿CallExpression¿¿346¿¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/theme-core_0.2.5/theme-core.test.js"}¿¿CallExpression
233¿MemberExpression¿¿346¿¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/theme-core_0.2.5/theme-core.test.js"}¿¿MemberExpression
234¿Identifier¿¿346¿fs¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/theme-core_0.2.5/theme-core.test.js"}¿¿Identifier
235¿Identifier¿¿346¿unlinkSync¿¿¿{"start":{"line":8,"column":9},"end":{"line":8,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/theme-core_0.2.5/theme-core.test.js"}¿¿Identifier
236¿Identifier¿¿346¿path¿¿¿{"start":{"line":8,"column":20},"end":{"line":8,"column":24},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/theme-core_0.2.5/theme-core.test.js"}¿¿Identifier
237¿ExpressionStatement¿¿346¿¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/theme-core_0.2.5/theme-core.test.js"}¿¿ExpressionStatement
238¿Identifier¿¿346¿v20¿¿¿¿¿Identifier
239¿VariableDeclarator¿¿346¿v21¿¿¿{"start":{"line":9,"column":6},"end":{"line":9,"column":40},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/theme-core_0.2.5/theme-core.test.js"}¿¿VariableDeclarator
240¿CallExpression¿¿346¿¿¿¿{"start":{"line":9,"column":6},"end":{"line":9,"column":40},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/theme-core_0.2.5/theme-core.test.js"}¿¿CallExpression
241¿MemberExpression¿¿346¿¿¿¿{"start":{"line":9,"column":6},"end":{"line":9,"column":17},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/theme-core_0.2.5/theme-core.test.js"}¿¿MemberExpression
