Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
232¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":29,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/total.js_3.4.6/total-js.test.js"}¿¿Program
233¿VariableDeclarator¿¿402¿v37¿¿¿{"start":{"line":1,"column":38},"end":{"line":29,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/total.js_3.4.6/total-js.test.js"}¿¿VariableDeclarator
234¿ArrowFunctionExpression¿¿402¿¿¿¿{"start":{"line":1,"column":38},"end":{"line":29,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/total.js_3.4.6/total-js.test.js"}¿¿ArrowFunctionExpression
235¿Identifier¿¿0¿done¿¿¿{"start":{"line":1,"column":39},"end":{"line":1,"column":43},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/total.js_3.4.6/total-js.test.js"}¿¿Identifier
236¿VariableDeclarator¿¿404¿v20¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/total.js_3.4.6/total-js.test.js"}¿¿VariableDeclarator
237¿CallExpression¿¿404¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/total.js_3.4.6/total-js.test.js"}¿¿CallExpression
238¿MemberExpression¿¿404¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/total.js_3.4.6/total-js.test.js"}¿¿MemberExpression
239¿Identifier¿¿404¿expect¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/total.js_3.4.6/total-js.test.js"}¿¿Identifier
240¿Identifier¿¿404¿assertions¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/total.js_3.4.6/total-js.test.js"}¿¿Identifier
241¿Literal¿number¿404¿¿2¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/total.js_3.4.6/total-js.test.js"}¿¿Literal
242¿ExpressionStatement¿¿404¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/total.js_3.4.6/total-js.test.js"}¿¿ExpressionStatement
243¿Identifier¿¿404¿v20¿¿¿¿¿Identifier
244¿VariableDeclarator¿¿404¿total¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":35},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/total.js_3.4.6/total-js.test.js"}¿¿VariableDeclarator
245¿CallExpression¿¿404¿¿¿¿{"start":{"line":3,"column":16},"end":{"line":3,"column":35},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/total.js_3.4.6/total-js.test.js"}¿¿CallExpression
246¿Identifier¿¿404¿require¿¿¿{"start":{"line":3,"column":16},"end":{"line":3,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/total.js_3.4.6/total-js.test.js"}¿¿Identifier
247¿Literal¿string¿404¿¿'total.js'¿¿{"start":{"line":3,"column":24},"end":{"line":3,"column":34},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/total.js_3.4.6/total-js.test.js"}¿¿Literal
248¿VariableDeclarator¿¿404¿fs¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/total.js_3.4.6/total-js.test.js"}¿¿VariableDeclarator
249¿CallExpression¿¿404¿¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/total.js_3.4.6/total-js.test.js"}¿¿CallExpression
250¿Identifier¿¿404¿require¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/total.js_3.4.6/total-js.test.js"}¿¿Identifier
251¿Literal¿string¿404¿¿'fs'¿¿{"start":{"line":4,"column":21},"end":{"line":4,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/total.js_3.4.6/total-js.test.js"}¿¿Literal
252¿VariableDeclarator¿¿404¿path¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/total.js_3.4.6/total-js.test.js"}¿¿VariableDeclarator
253¿Literal¿string¿404¿¿'./total_js'¿¿{"start":{"line":5,"column":15},"end":{"line":5,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/total.js_3.4.6/total-js.test.js"}¿¿Literal
254¿TryStatement¿¿404¿¿¿¿{"start":{"line":6,"column":2},"end":{"line":13,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/total.js_3.4.6/total-js.test.js"}¿¿TryStatement
255¿VariableDeclarator¿¿404¿v21¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/total.js_3.4.6/total-js.test.js"}¿¿VariableDeclarator
