Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
196¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":24,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/umount_1.1.6/umount.test.js"}¿¿Program
197¿VariableDeclarator¿¿337¿v31¿¿¿{"start":{"line":1,"column":36},"end":{"line":24,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/umount_1.1.6/umount.test.js"}¿¿VariableDeclarator
198¿ArrowFunctionExpression¿¿337¿¿¿¿{"start":{"line":1,"column":36},"end":{"line":24,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/umount_1.1.6/umount.test.js"}¿¿ArrowFunctionExpression
199¿Identifier¿¿0¿done¿¿¿{"start":{"line":1,"column":37},"end":{"line":1,"column":41},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/umount_1.1.6/umount.test.js"}¿¿Identifier
200¿VariableDeclarator¿¿339¿v17¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/umount_1.1.6/umount.test.js"}¿¿VariableDeclarator
201¿CallExpression¿¿339¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/umount_1.1.6/umount.test.js"}¿¿CallExpression
202¿MemberExpression¿¿339¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/umount_1.1.6/umount.test.js"}¿¿MemberExpression
203¿Identifier¿¿339¿expect¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/umount_1.1.6/umount.test.js"}¿¿Identifier
204¿Identifier¿¿339¿assertions¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/umount_1.1.6/umount.test.js"}¿¿Identifier
205¿Literal¿number¿339¿¿2¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/umount_1.1.6/umount.test.js"}¿¿Literal
206¿ExpressionStatement¿¿339¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/umount_1.1.6/umount.test.js"}¿¿ExpressionStatement
207¿Identifier¿¿339¿v17¿¿¿¿¿Identifier
208¿VariableDeclarator¿¿339¿root¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":32},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/umount_1.1.6/umount.test.js"}¿¿VariableDeclarator
209¿CallExpression¿¿339¿¿¿¿{"start":{"line":3,"column":15},"end":{"line":3,"column":32},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/umount_1.1.6/umount.test.js"}¿¿CallExpression
210¿Identifier¿¿339¿require¿¿¿{"start":{"line":3,"column":15},"end":{"line":3,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/umount_1.1.6/umount.test.js"}¿¿Identifier
211¿Literal¿string¿339¿¿'umount'¿¿{"start":{"line":3,"column":23},"end":{"line":3,"column":31},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/umount_1.1.6/umount.test.js"}¿¿Literal
212¿VariableDeclarator¿¿339¿fs¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/umount_1.1.6/umount.test.js"}¿¿VariableDeclarator
213¿CallExpression¿¿339¿¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/umount_1.1.6/umount.test.js"}¿¿CallExpression
214¿Identifier¿¿339¿require¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/umount_1.1.6/umount.test.js"}¿¿Identifier
