Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
223¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":24,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/vboxmanage.js_1.0.6/vboxmanage-js.test.js"}¿¿Program
224¿VariableDeclarator¿¿379¿v39¿¿¿{"start":{"line":1,"column":43},"end":{"line":24,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/vboxmanage.js_1.0.6/vboxmanage-js.test.js"}¿¿VariableDeclarator
225¿ArrowFunctionExpression¿¿379¿¿¿¿{"start":{"line":1,"column":43},"end":{"line":24,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/vboxmanage.js_1.0.6/vboxmanage-js.test.js"}¿¿ArrowFunctionExpression
226¿VariableDeclarator¿¿381¿v21¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/vboxmanage.js_1.0.6/vboxmanage-js.test.js"}¿¿VariableDeclarator
227¿CallExpression¿¿381¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/vboxmanage.js_1.0.6/vboxmanage-js.test.js"}¿¿CallExpression
228¿MemberExpression¿¿381¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/vboxmanage.js_1.0.6/vboxmanage-js.test.js"}¿¿MemberExpression
229¿Identifier¿¿381¿expect¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/vboxmanage.js_1.0.6/vboxmanage-js.test.js"}¿¿Identifier
230¿Identifier¿¿381¿assertions¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/vboxmanage.js_1.0.6/vboxmanage-js.test.js"}¿¿Identifier
231¿Literal¿number¿381¿¿2¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/vboxmanage.js_1.0.6/vboxmanage-js.test.js"}¿¿Literal
232¿ExpressionStatement¿¿381¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/vboxmanage.js_1.0.6/vboxmanage-js.test.js"}¿¿ExpressionStatement
