Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
192¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":23,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/wc-cmd_1.0.9/wc-cmd.test.js"}¿¿Program
193¿VariableDeclarator¿¿329¿v31¿¿¿{"start":{"line":1,"column":36},"end":{"line":23,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/wc-cmd_1.0.9/wc-cmd.test.js"}¿¿VariableDeclarator
194¿ArrowFunctionExpression¿¿329¿¿¿¿{"start":{"line":1,"column":36},"end":{"line":23,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/wc-cmd_1.0.9/wc-cmd.test.js"}¿¿ArrowFunctionExpression
195¿Identifier¿¿0¿done¿¿¿{"start":{"line":1,"column":37},"end":{"line":1,"column":41},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/wc-cmd_1.0.9/wc-cmd.test.js"}¿¿Identifier
196¿VariableDeclarator¿¿331¿v17¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/wc-cmd_1.0.9/wc-cmd.test.js"}¿¿VariableDeclarator
197¿CallExpression¿¿331¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/wc-cmd_1.0.9/wc-cmd.test.js"}¿¿CallExpression
198¿MemberExpression¿¿331¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/wc-cmd_1.0.9/wc-cmd.test.js"}¿¿MemberExpression
199¿Identifier¿¿331¿expect¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/wc-cmd_1.0.9/wc-cmd.test.js"}¿¿Identifier
200¿Identifier¿¿331¿assertions¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/wc-cmd_1.0.9/wc-cmd.test.js"}¿¿Identifier
201¿Literal¿number¿331¿¿2¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/wc-cmd_1.0.9/wc-cmd.test.js"}¿¿Literal
202¿ExpressionStatement¿¿331¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/wc-cmd_1.0.9/wc-cmd.test.js"}¿¿ExpressionStatement
203¿Identifier¿¿331¿v17¿¿¿¿¿Identifier
204¿VariableDeclarator¿¿331¿a¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":29},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/wc-cmd_1.0.9/wc-cmd.test.js"}¿¿VariableDeclarator
205¿CallExpression¿¿331¿¿¿¿{"start":{"line":3,"column":12},"end":{"line":3,"column":29},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/wc-cmd_1.0.9/wc-cmd.test.js"}¿¿CallExpression
206¿Identifier¿¿331¿require¿¿¿{"start":{"line":3,"column":12},"end":{"line":3,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/wc-cmd_1.0.9/wc-cmd.test.js"}¿¿Identifier
207¿Literal¿string¿331¿¿'wc-cmd'¿¿{"start":{"line":3,"column":20},"end":{"line":3,"column":28},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/wc-cmd_1.0.9/wc-cmd.test.js"}¿¿Literal
208¿VariableDeclarator¿¿331¿fs¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/wc-cmd_1.0.9/wc-cmd.test.js"}¿¿VariableDeclarator
209¿CallExpression¿¿331¿¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/wc-cmd_1.0.9/wc-cmd.test.js"}¿¿CallExpression
210¿Identifier¿¿331¿require¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/wc-cmd_1.0.9/wc-cmd.test.js"}¿¿Identifier
211¿Literal¿string¿331¿¿'fs'¿¿{"start":{"line":4,"column":21},"end":{"line":4,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/wc-cmd_1.0.9/wc-cmd.test.js"}¿¿Literal
212¿VariableDeclarator¿¿331¿path¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/wc-cmd_1.0.9/wc-cmd.test.js"}¿¿VariableDeclarator
213¿Literal¿string¿331¿¿'./wc-cmd'¿¿{"start":{"line":5,"column":15},"end":{"line":5,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/wc-cmd_1.0.9/wc-cmd.test.js"}¿¿Literal
214¿TryStatement¿¿331¿¿¿¿{"start":{"line":6,"column":2},"end":{"line":13,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/wc-cmd_1.0.9/wc-cmd.test.js"}¿¿TryStatement
215¿VariableDeclarator¿¿331¿v18¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/wc-cmd_1.0.9/wc-cmd.test.js"}¿¿VariableDeclarator
