Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
183¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":23,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/whereis_0.4.0/whereis.test.js"}¿¿Program
184¿VariableDeclarator¿¿313¿v29¿¿¿{"start":{"line":1,"column":37},"end":{"line":23,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/whereis_0.4.0/whereis.test.js"}¿¿VariableDeclarator
185¿ArrowFunctionExpression¿¿313¿¿¿¿{"start":{"line":1,"column":37},"end":{"line":23,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/whereis_0.4.0/whereis.test.js"}¿¿ArrowFunctionExpression
186¿Identifier¿¿0¿done¿¿¿{"start":{"line":1,"column":38},"end":{"line":1,"column":42},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/whereis_0.4.0/whereis.test.js"}¿¿Identifier
187¿VariableDeclarator¿¿315¿v16¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/whereis_0.4.0/whereis.test.js"}¿¿VariableDeclarator
188¿CallExpression¿¿315¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/whereis_0.4.0/whereis.test.js"}¿¿CallExpression
189¿MemberExpression¿¿315¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/whereis_0.4.0/whereis.test.js"}¿¿MemberExpression
190¿Identifier¿¿315¿expect¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/whereis_0.4.0/whereis.test.js"}¿¿Identifier
191¿Identifier¿¿315¿assertions¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/whereis_0.4.0/whereis.test.js"}¿¿Identifier
192¿Literal¿number¿315¿¿2¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/whereis_0.4.0/whereis.test.js"}¿¿Literal
