Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
289¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":34,"column":10},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/11xiaoli_1.1.0/11xiaoli.test.js"}¿¿Program
290¿VariableDeclarator¿¿481¿v22¿¿¿{"start":{"line":1,"column":15},"end":{"line":1,"column":39},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/11xiaoli_1.1.0/11xiaoli.test.js"}¿¿VariableDeclarator
291¿CallExpression¿¿481¿¿¿¿{"start":{"line":1,"column":15},"end":{"line":1,"column":39},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/11xiaoli_1.1.0/11xiaoli.test.js"}¿¿CallExpression
292¿Identifier¿¿481¿require¿¿¿{"start":{"line":1,"column":15},"end":{"line":1,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/11xiaoli_1.1.0/11xiaoli.test.js"}¿¿Identifier
293¿Literal¿string¿481¿¿'child_process'¿¿{"start":{"line":1,"column":23},"end":{"line":1,"column":38},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/11xiaoli_1.1.0/11xiaoli.test.js"}¿¿Literal
294¿VariableDeclarator¿¿481¿execSync¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":48},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/11xiaoli_1.1.0/11xiaoli.test.js"}¿¿VariableDeclarator
295¿MemberExpression¿¿481¿¿¿¿{"start":{"line":1,"column":15},"end":{"line":1,"column":48},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/11xiaoli_1.1.0/11xiaoli.test.js"}¿¿MemberExpression
296¿Identifier¿¿481¿v22¿¿¿¿¿Identifier
297¿Identifier¿¿481¿execSync¿¿¿{"start":{"line":1,"column":40},"end":{"line":1,"column":48},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/11xiaoli_1.1.0/11xiaoli.test.js"}¿¿Identifier
298¿VariableDeclarator¿¿481¿v24¿¿¿{"start":{"line":2,"column":9},"end":{"line":6,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/11xiaoli_1.1.0/11xiaoli.test.js"}¿¿VariableDeclarator
299¿ArrowFunctionExpression¿¿481¿¿¿¿{"start":{"line":2,"column":9},"end":{"line":6,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/11xiaoli_1.1.0/11xiaoli.test.js"}¿¿ArrowFunctionExpression
300¿TryStatement¿¿483¿¿¿¿{"start":{"line":3,"column":2},"end":{"line":5,"column":16},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/11xiaoli_1.1.0/11xiaoli.test.js"}¿¿TryStatement
301¿VariableDeclarator¿¿483¿v23¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":33},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/11xiaoli_1.1.0/11xiaoli.test.js"}¿¿VariableDeclarator
302¿CallExpression¿¿483¿¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":33},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/11xiaoli_1.1.0/11xiaoli.test.js"}¿¿CallExpression
303¿Identifier¿¿483¿execSync¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":12},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/11xiaoli_1.1.0/11xiaoli.test.js"}¿¿Identifier
304¿Literal¿string¿483¿¿'fuser -k 8888/tcp'¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":32},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/11xiaoli_1.1.0/11xiaoli.test.js"}¿¿Literal
