Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
210¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":21,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/api-proxy_0.0.2/api-proxy.test.js"}¿¿Program
211¿VariableDeclarator¿¿348¿path¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":28},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/api-proxy_0.0.2/api-proxy.test.js"}¿¿VariableDeclarator
212¿CallExpression¿¿348¿¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":28},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/api-proxy_0.0.2/api-proxy.test.js"}¿¿CallExpression
213¿Identifier¿¿348¿require¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/api-proxy_0.0.2/api-proxy.test.js"}¿¿Identifier
214¿Literal¿string¿348¿¿'path'¿¿{"start":{"line":1,"column":21},"end":{"line":1,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/api-proxy_0.0.2/api-proxy.test.js"}¿¿Literal
215¿VariableDeclarator¿¿348¿pathToFlag¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":58},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/api-proxy_0.0.2/api-proxy.test.js"}¿¿VariableDeclarator
216¿CallExpression¿¿348¿¿¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":58},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/api-proxy_0.0.2/api-proxy.test.js"}¿¿CallExpression
217¿MemberExpression¿¿348¿¿¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":31},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/api-proxy_0.0.2/api-proxy.test.js"}¿¿MemberExpression
218¿Identifier¿¿348¿path¿¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/api-proxy_0.0.2/api-proxy.test.js"}¿¿Identifier
219¿Identifier¿¿348¿resolve¿¿¿{"start":{"line":2,"column":24},"end":{"line":2,"column":31},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/api-proxy_0.0.2/api-proxy.test.js"}¿¿Identifier
220¿Identifier¿¿348¿__dirname¿¿¿{"start":{"line":2,"column":32},"end":{"line":2,"column":41},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/api-proxy_0.0.2/api-proxy.test.js"}¿¿Identifier
221¿Literal¿string¿348¿¿'../flag.html'¿¿{"start":{"line":2,"column":43},"end":{"line":2,"column":57},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/api-proxy_0.0.2/api-proxy.test.js"}¿¿Literal
222¿VariableDeclarator¿¿348¿genstr¿¿¿{"start":{"line":3,"column":0},"end":{"line":5,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/api-proxy_0.0.2/api-proxy.test.js"}¿¿VariableDeclarator
223¿FunctionExpression¿¿348¿anon¿¿¿{"start":{"line":3,"column":0},"end":{"line":5,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/api-proxy_0.0.2/api-proxy.test.js"}¿¿FunctionExpression
224¿Identifier¿¿0¿n¿¿¿{"start":{"line":3,"column":16},"end":{"line":3,"column":17},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/api-proxy_0.0.2/api-proxy.test.js"}¿¿Identifier
225¿VariableDeclarator¿¿350¿v18¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/api-proxy_0.0.2/api-proxy.test.js"}¿¿VariableDeclarator
226¿CallExpression¿¿350¿¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/api-proxy_0.0.2/api-proxy.test.js"}¿¿CallExpression
227¿MemberExpression¿¿350¿¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/api-proxy_0.0.2/api-proxy.test.js"}¿¿MemberExpression
228¿Literal¿string¿350¿¿'/..'¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":14},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/api-proxy_0.0.2/api-proxy.test.js"}¿¿Literal
