Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
282¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":27,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/aso-server_0.4.3/aso-server.test.js"}¿¿Program
283¿VariableDeclarator¿¿465¿path¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":28},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/aso-server_0.4.3/aso-server.test.js"}¿¿VariableDeclarator
284¿CallExpression¿¿465¿¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":28},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/aso-server_0.4.3/aso-server.test.js"}¿¿CallExpression
285¿Identifier¿¿465¿require¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/aso-server_0.4.3/aso-server.test.js"}¿¿Identifier
286¿Literal¿string¿465¿¿'path'¿¿{"start":{"line":1,"column":21},"end":{"line":1,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/aso-server_0.4.3/aso-server.test.js"}¿¿Literal
287¿VariableDeclarator¿¿465¿pathToFlag¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":58},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/aso-server_0.4.3/aso-server.test.js"}¿¿VariableDeclarator
288¿CallExpression¿¿465¿¿¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":58},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/aso-server_0.4.3/aso-server.test.js"}¿¿CallExpression
289¿MemberExpression¿¿465¿¿¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":31},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/aso-server_0.4.3/aso-server.test.js"}¿¿MemberExpression
290¿Identifier¿¿465¿path¿¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/aso-server_0.4.3/aso-server.test.js"}¿¿Identifier
291¿Identifier¿¿465¿resolve¿¿¿{"start":{"line":2,"column":24},"end":{"line":2,"column":31},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/aso-server_0.4.3/aso-server.test.js"}¿¿Identifier
292¿Identifier¿¿465¿__dirname¿¿¿{"start":{"line":2,"column":32},"end":{"line":2,"column":41},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/aso-server_0.4.3/aso-server.test.js"}¿¿Identifier
