Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
218¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":22,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/asset-cache_0.0.6/asset-cache.test.js"}¿¿Program
219¿VariableDeclarator¿¿360¿path¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":28},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/asset-cache_0.0.6/asset-cache.test.js"}¿¿VariableDeclarator
220¿CallExpression¿¿360¿¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":28},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/asset-cache_0.0.6/asset-cache.test.js"}¿¿CallExpression
221¿Identifier¿¿360¿require¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/asset-cache_0.0.6/asset-cache.test.js"}¿¿Identifier
222¿Literal¿string¿360¿¿'path'¿¿{"start":{"line":1,"column":21},"end":{"line":1,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/asset-cache_0.0.6/asset-cache.test.js"}¿¿Literal
223¿VariableDeclarator¿¿360¿pathToFlag¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":58},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/asset-cache_0.0.6/asset-cache.test.js"}¿¿VariableDeclarator
224¿CallExpression¿¿360¿¿¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":58},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/asset-cache_0.0.6/asset-cache.test.js"}¿¿CallExpression
225¿MemberExpression¿¿360¿¿¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":31},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/asset-cache_0.0.6/asset-cache.test.js"}¿¿MemberExpression
226¿Identifier¿¿360¿path¿¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/asset-cache_0.0.6/asset-cache.test.js"}¿¿Identifier
227¿Identifier¿¿360¿resolve¿¿¿{"start":{"line":2,"column":24},"end":{"line":2,"column":31},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/asset-cache_0.0.6/asset-cache.test.js"}¿¿Identifier
228¿Identifier¿¿360¿__dirname¿¿¿{"start":{"line":2,"column":32},"end":{"line":2,"column":41},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/asset-cache_0.0.6/asset-cache.test.js"}¿¿Identifier
229¿Literal¿string¿360¿¿'../flag.html'¿¿{"start":{"line":2,"column":43},"end":{"line":2,"column":57},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/asset-cache_0.0.6/asset-cache.test.js"}¿¿Literal
230¿VariableDeclarator¿¿360¿genstr¿¿¿{"start":{"line":3,"column":0},"end":{"line":5,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/asset-cache_0.0.6/asset-cache.test.js"}¿¿VariableDeclarator
231¿FunctionExpression¿¿360¿anon¿¿¿{"start":{"line":3,"column":0},"end":{"line":5,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/asset-cache_0.0.6/asset-cache.test.js"}¿¿FunctionExpression
232¿Identifier¿¿0¿n¿¿¿{"start":{"line":3,"column":16},"end":{"line":3,"column":17},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/asset-cache_0.0.6/asset-cache.test.js"}¿¿Identifier
233¿VariableDeclarator¿¿362¿v18¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/asset-cache_0.0.6/asset-cache.test.js"}¿¿VariableDeclarator
234¿CallExpression¿¿362¿¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/asset-cache_0.0.6/asset-cache.test.js"}¿¿CallExpression
235¿MemberExpression¿¿362¿¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/asset-cache_0.0.6/asset-cache.test.js"}¿¿MemberExpression
236¿Literal¿string¿362¿¿'/..'¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":14},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/asset-cache_0.0.6/asset-cache.test.js"}¿¿Literal
237¿Identifier¿¿362¿repeat¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/asset-cache_0.0.6/asset-cache.test.js"}¿¿Identifier
238¿Literal¿number¿362¿¿50¿¿{"start":{"line":4,"column":22},"end":{"line":4,"column":24},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/asset-cache_0.0.6/asset-cache.test.js"}¿¿Literal
239¿VariableDeclarator¿¿362¿v19¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":38},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/asset-cache_0.0.6/asset-cache.test.js"}¿¿VariableDeclarator
240¿BinaryExpression¿+¿362¿¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":38},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/asset-cache_0.0.6/asset-cache.test.js"}¿¿BinaryExpression
241¿Identifier¿¿362¿v18¿¿¿¿¿Identifier
242¿Identifier¿¿362¿pathToFlag¿¿¿{"start":{"line":4,"column":28},"end":{"line":4,"column":38},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/asset-cache_0.0.6/asset-cache.test.js"}¿¿Identifier
243¿ReturnStatement¿¿362¿¿¿¿{"start":{"line":4,"column":2},"end":{"line":4,"column":39},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/asset-cache_0.0.6/asset-cache.test.js"}¿¿ReturnStatement
244¿Identifier¿¿362¿v19¿¿¿¿¿Identifier
245¿BlockStatement¿¿362¿¿¿¿{"start":{"line":3,"column":19},"end":{"line":5,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/asset-cache_0.0.6/asset-cache.test.js"}¿¿BlockStatement
246¿VariableDeclarator¿¿360¿v33¿¿¿{"start":{"line":6,"column":38},"end":{"line":22,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/asset-cache_0.0.6/asset-cache.test.js"}¿¿VariableDeclarator
247¿ArrowFunctionExpression¿¿360¿¿¿¿{"start":{"line":6,"column":38},"end":{"line":22,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/asset-cache_0.0.6/asset-cache.test.js"}¿¿ArrowFunctionExpression
248¿Identifier¿¿0¿done¿¿¿{"start":{"line":6,"column":39},"end":{"line":6,"column":43},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/asset-cache_0.0.6/asset-cache.test.js"}¿¿Identifier
249¿VariableDeclarator¿¿364¿v20¿¿¿{"start":{"line":7,"column":2},"end":{"line":7,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/asset-cache_0.0.6/asset-cache.test.js"}¿¿VariableDeclarator
250¿CallExpression¿¿364¿¿¿¿{"start":{"line":7,"column":2},"end":{"line":7,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/asset-cache_0.0.6/asset-cache.test.js"}¿¿CallExpression
251¿MemberExpression¿¿364¿¿¿¿{"start":{"line":7,"column":2},"end":{"line":7,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/asset-cache_0.0.6/asset-cache.test.js"}¿¿MemberExpression
252¿Identifier¿¿364¿expect¿¿¿{"start":{"line":7,"column":2},"end":{"line":7,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/asset-cache_0.0.6/asset-cache.test.js"}¿¿Identifier
253¿Identifier¿¿364¿assertions¿¿¿{"start":{"line":7,"column":9},"end":{"line":7,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/asset-cache_0.0.6/asset-cache.test.js"}¿¿Identifier
254¿Literal¿number¿364¿¿1¿¿{"start":{"line":7,"column":20},"end":{"line":7,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/asset-cache_0.0.6/asset-cache.test.js"}¿¿Literal
255¿ExpressionStatement¿¿364¿¿¿¿{"start":{"line":7,"column":2},"end":{"line":7,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/asset-cache_0.0.6/asset-cache.test.js"}¿¿ExpressionStatement
256¿Identifier¿¿364¿v20¿¿¿¿¿Identifier
257¿VariableDeclarator¿¿364¿pkg¿¿¿{"start":{"line":8,"column":8},"end":{"line":8,"column":36},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/asset-cache_0.0.6/asset-cache.test.js"}¿¿VariableDeclarator
258¿CallExpression¿¿364¿¿¿¿{"start":{"line":8,"column":14},"end":{"line":8,"column":36},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/asset-cache_0.0.6/asset-cache.test.js"}¿¿CallExpression
259¿Identifier¿¿364¿require¿¿¿{"start":{"line":8,"column":14},"end":{"line":8,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/asset-cache_0.0.6/asset-cache.test.js"}¿¿Identifier
