Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
228¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":25,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/atropa-ide_0.2.2-2/atropa-ide.test.js"}¿¿Program
229¿VariableDeclarator¿¿379¿path¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":28},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/atropa-ide_0.2.2-2/atropa-ide.test.js"}¿¿VariableDeclarator
230¿CallExpression¿¿379¿¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":28},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/atropa-ide_0.2.2-2/atropa-ide.test.js"}¿¿CallExpression
231¿Identifier¿¿379¿require¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/atropa-ide_0.2.2-2/atropa-ide.test.js"}¿¿Identifier
232¿Literal¿string¿379¿¿'path'¿¿{"start":{"line":1,"column":21},"end":{"line":1,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/atropa-ide_0.2.2-2/atropa-ide.test.js"}¿¿Literal
233¿VariableDeclarator¿¿379¿pathToFlag¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":58},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/atropa-ide_0.2.2-2/atropa-ide.test.js"}¿¿VariableDeclarator
234¿CallExpression¿¿379¿¿¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":58},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/atropa-ide_0.2.2-2/atropa-ide.test.js"}¿¿CallExpression
235¿MemberExpression¿¿379¿¿¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":31},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/atropa-ide_0.2.2-2/atropa-ide.test.js"}¿¿MemberExpression
236¿Identifier¿¿379¿path¿¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/atropa-ide_0.2.2-2/atropa-ide.test.js"}¿¿Identifier
237¿Identifier¿¿379¿resolve¿¿¿{"start":{"line":2,"column":24},"end":{"line":2,"column":31},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/atropa-ide_0.2.2-2/atropa-ide.test.js"}¿¿Identifier
238¿Identifier¿¿379¿__dirname¿¿¿{"start":{"line":2,"column":32},"end":{"line":2,"column":41},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/atropa-ide_0.2.2-2/atropa-ide.test.js"}¿¿Identifier
