Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
267¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":30,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/basic-static_2.0.2/basic-static.test.js"}¿¿Program
268¿VariableDeclarator¿¿444¿path¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":28},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/basic-static_2.0.2/basic-static.test.js"}¿¿VariableDeclarator
269¿CallExpression¿¿444¿¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":28},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/basic-static_2.0.2/basic-static.test.js"}¿¿CallExpression
270¿Identifier¿¿444¿require¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/basic-static_2.0.2/basic-static.test.js"}¿¿Identifier
271¿Literal¿string¿444¿¿'path'¿¿{"start":{"line":1,"column":21},"end":{"line":1,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/basic-static_2.0.2/basic-static.test.js"}¿¿Literal
272¿VariableDeclarator¿¿444¿pathToFlag¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":58},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/basic-static_2.0.2/basic-static.test.js"}¿¿VariableDeclarator
273¿CallExpression¿¿444¿¿¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":58},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/basic-static_2.0.2/basic-static.test.js"}¿¿CallExpression
274¿MemberExpression¿¿444¿¿¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":31},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/basic-static_2.0.2/basic-static.test.js"}¿¿MemberExpression
275¿Identifier¿¿444¿path¿¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/basic-static_2.0.2/basic-static.test.js"}¿¿Identifier
276¿Identifier¿¿444¿resolve¿¿¿{"start":{"line":2,"column":24},"end":{"line":2,"column":31},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/basic-static_2.0.2/basic-static.test.js"}¿¿Identifier
277¿Identifier¿¿444¿__dirname¿¿¿{"start":{"line":2,"column":32},"end":{"line":2,"column":41},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/basic-static_2.0.2/basic-static.test.js"}¿¿Identifier
278¿Literal¿string¿444¿¿'../flag.html'¿¿{"start":{"line":2,"column":43},"end":{"line":2,"column":57},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/basic-static_2.0.2/basic-static.test.js"}¿¿Literal
279¿VariableDeclarator¿¿444¿genstr¿¿¿{"start":{"line":3,"column":0},"end":{"line":5,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/basic-static_2.0.2/basic-static.test.js"}¿¿VariableDeclarator
280¿FunctionExpression¿¿444¿anon¿¿¿{"start":{"line":3,"column":0},"end":{"line":5,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/basic-static_2.0.2/basic-static.test.js"}¿¿FunctionExpression
281¿Identifier¿¿0¿n¿¿¿{"start":{"line":3,"column":16},"end":{"line":3,"column":17},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/basic-static_2.0.2/basic-static.test.js"}¿¿Identifier
282¿VariableDeclarator¿¿446¿v21¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/basic-static_2.0.2/basic-static.test.js"}¿¿VariableDeclarator
283¿CallExpression¿¿446¿¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/basic-static_2.0.2/basic-static.test.js"}¿¿CallExpression
284¿MemberExpression¿¿446¿¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/basic-static_2.0.2/basic-static.test.js"}¿¿MemberExpression
285¿Literal¿string¿446¿¿'/..'¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":14},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/basic-static_2.0.2/basic-static.test.js"}¿¿Literal
286¿Identifier¿¿446¿repeat¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/basic-static_2.0.2/basic-static.test.js"}¿¿Identifier
287¿Literal¿number¿446¿¿50¿¿{"start":{"line":4,"column":22},"end":{"line":4,"column":24},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/basic-static_2.0.2/basic-static.test.js"}¿¿Literal
288¿VariableDeclarator¿¿446¿v22¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":38},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/basic-static_2.0.2/basic-static.test.js"}¿¿VariableDeclarator
289¿BinaryExpression¿+¿446¿¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":38},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/basic-static_2.0.2/basic-static.test.js"}¿¿BinaryExpression
290¿Identifier¿¿446¿v21¿¿¿¿¿Identifier
291¿Identifier¿¿446¿pathToFlag¿¿¿{"start":{"line":4,"column":28},"end":{"line":4,"column":38},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/basic-static_2.0.2/basic-static.test.js"}¿¿Identifier
292¿ReturnStatement¿¿446¿¿¿¿{"start":{"line":4,"column":2},"end":{"line":4,"column":39},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/basic-static_2.0.2/basic-static.test.js"}¿¿ReturnStatement
293¿Identifier¿¿446¿v22¿¿¿¿¿Identifier
294¿BlockStatement¿¿446¿¿¿¿{"start":{"line":3,"column":19},"end":{"line":5,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/basic-static_2.0.2/basic-static.test.js"}¿¿BlockStatement
295¿VariableDeclarator¿¿444¿v39¿¿¿{"start":{"line":6,"column":39},"end":{"line":30,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/basic-static_2.0.2/basic-static.test.js"}¿¿VariableDeclarator
296¿ArrowFunctionExpression¿¿444¿¿¿¿{"start":{"line":6,"column":39},"end":{"line":30,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/basic-static_2.0.2/basic-static.test.js"}¿¿ArrowFunctionExpression
297¿Identifier¿¿0¿done¿¿¿{"start":{"line":6,"column":40},"end":{"line":6,"column":44},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/basic-static_2.0.2/basic-static.test.js"}¿¿Identifier
298¿VariableDeclarator¿¿448¿v23¿¿¿{"start":{"line":7,"column":2},"end":{"line":7,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/basic-static_2.0.2/basic-static.test.js"}¿¿VariableDeclarator
