Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
212¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":22,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/der-server_0.0.9/der-server.test.js"}¿¿Program
213¿VariableDeclarator¿¿352¿path¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":28},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/der-server_0.0.9/der-server.test.js"}¿¿VariableDeclarator
214¿CallExpression¿¿352¿¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":28},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/der-server_0.0.9/der-server.test.js"}¿¿CallExpression
215¿Identifier¿¿352¿require¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/der-server_0.0.9/der-server.test.js"}¿¿Identifier
216¿Literal¿string¿352¿¿'path'¿¿{"start":{"line":1,"column":21},"end":{"line":1,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/der-server_0.0.9/der-server.test.js"}¿¿Literal
217¿VariableDeclarator¿¿352¿pathToFlag¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":58},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/der-server_0.0.9/der-server.test.js"}¿¿VariableDeclarator
218¿CallExpression¿¿352¿¿¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":58},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/der-server_0.0.9/der-server.test.js"}¿¿CallExpression
219¿MemberExpression¿¿352¿¿¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":31},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/der-server_0.0.9/der-server.test.js"}¿¿MemberExpression
220¿Identifier¿¿352¿path¿¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/der-server_0.0.9/der-server.test.js"}¿¿Identifier
221¿Identifier¿¿352¿resolve¿¿¿{"start":{"line":2,"column":24},"end":{"line":2,"column":31},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/der-server_0.0.9/der-server.test.js"}¿¿Identifier
222¿Identifier¿¿352¿__dirname¿¿¿{"start":{"line":2,"column":32},"end":{"line":2,"column":41},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/der-server_0.0.9/der-server.test.js"}¿¿Identifier
223¿Literal¿string¿352¿¿'../flag.html'¿¿{"start":{"line":2,"column":43},"end":{"line":2,"column":57},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/der-server_0.0.9/der-server.test.js"}¿¿Literal
224¿VariableDeclarator¿¿352¿genstr¿¿¿{"start":{"line":3,"column":0},"end":{"line":5,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/der-server_0.0.9/der-server.test.js"}¿¿VariableDeclarator
225¿FunctionExpression¿¿352¿anon¿¿¿{"start":{"line":3,"column":0},"end":{"line":5,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/der-server_0.0.9/der-server.test.js"}¿¿FunctionExpression
226¿Identifier¿¿0¿n¿¿¿{"start":{"line":3,"column":16},"end":{"line":3,"column":17},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/der-server_0.0.9/der-server.test.js"}¿¿Identifier
227¿VariableDeclarator¿¿354¿v17¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/der-server_0.0.9/der-server.test.js"}¿¿VariableDeclarator
228¿CallExpression¿¿354¿¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/der-server_0.0.9/der-server.test.js"}¿¿CallExpression
229¿MemberExpression¿¿354¿¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/der-server_0.0.9/der-server.test.js"}¿¿MemberExpression
230¿Literal¿string¿354¿¿'/..'¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":14},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/der-server_0.0.9/der-server.test.js"}¿¿Literal
231¿Identifier¿¿354¿repeat¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/der-server_0.0.9/der-server.test.js"}¿¿Identifier
232¿Literal¿number¿354¿¿50¿¿{"start":{"line":4,"column":22},"end":{"line":4,"column":24},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/der-server_0.0.9/der-server.test.js"}¿¿Literal
233¿VariableDeclarator¿¿354¿v18¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":38},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/der-server_0.0.9/der-server.test.js"}¿¿VariableDeclarator
