Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
385¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":46,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/glance_3.0.0/glance.test.js"}¿¿Program
386¿VariableDeclarator¿¿650¿path¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":28},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/glance_3.0.0/glance.test.js"}¿¿VariableDeclarator
387¿CallExpression¿¿650¿¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":28},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/glance_3.0.0/glance.test.js"}¿¿CallExpression
388¿Identifier¿¿650¿require¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/glance_3.0.0/glance.test.js"}¿¿Identifier
389¿Literal¿string¿650¿¿'path'¿¿{"start":{"line":1,"column":21},"end":{"line":1,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/glance_3.0.0/glance.test.js"}¿¿Literal
390¿VariableDeclarator¿¿650¿v33¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":34},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/glance_3.0.0/glance.test.js"}¿¿VariableDeclarator
391¿CallExpression¿¿650¿¿¿¿{"start":{"line":2,"column":18},"end":{"line":2,"column":34},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/glance_3.0.0/glance.test.js"}¿¿CallExpression
392¿Identifier¿¿650¿require¿¿¿{"start":{"line":2,"column":18},"end":{"line":2,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/glance_3.0.0/glance.test.js"}¿¿Identifier
393¿Literal¿string¿650¿¿'sleep'¿¿{"start":{"line":2,"column":26},"end":{"line":2,"column":33},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/glance_3.0.0/glance.test.js"}¿¿Literal
394¿VariableDeclarator¿¿650¿sleep¿¿¿{"start":{"line":2,"column":8},"end":{"line":2,"column":13},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/glance_3.0.0/glance.test.js"}¿¿VariableDeclarator
395¿MemberExpression¿¿650¿¿¿¿{"start":{"line":2,"column":8},"end":{"line":2,"column":13},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/glance_3.0.0/glance.test.js"}¿¿MemberExpression
396¿Identifier¿¿650¿v33¿¿¿¿¿Identifier
397¿Identifier¿¿650¿sleep¿¿¿{"start":{"line":2,"column":8},"end":{"line":2,"column":13},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/glance_3.0.0/glance.test.js"}¿¿Identifier
398¿VariableDeclarator¿¿650¿pathToFlag¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":58},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/glance_3.0.0/glance.test.js"}¿¿VariableDeclarator
399¿CallExpression¿¿650¿¿¿¿{"start":{"line":3,"column":19},"end":{"line":3,"column":58},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/glance_3.0.0/glance.test.js"}¿¿CallExpression
400¿MemberExpression¿¿650¿¿¿¿{"start":{"line":3,"column":19},"end":{"line":3,"column":31},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/glance_3.0.0/glance.test.js"}¿¿MemberExpression
401¿Identifier¿¿650¿path¿¿¿{"start":{"line":3,"column":19},"end":{"line":3,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/glance_3.0.0/glance.test.js"}¿¿Identifier
402¿Identifier¿¿650¿resolve¿¿¿{"start":{"line":3,"column":24},"end":{"line":3,"column":31},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/glance_3.0.0/glance.test.js"}¿¿Identifier
403¿Identifier¿¿650¿__dirname¿¿¿{"start":{"line":3,"column":32},"end":{"line":3,"column":41},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/glance_3.0.0/glance.test.js"}¿¿Identifier
404¿Literal¿string¿650¿¿'../flag.html'¿¿{"start":{"line":3,"column":43},"end":{"line":3,"column":57},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/glance_3.0.0/glance.test.js"}¿¿Literal
405¿VariableDeclarator¿¿650¿genstr¿¿¿{"start":{"line":4,"column":0},"end":{"line":6,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/glance_3.0.0/glance.test.js"}¿¿VariableDeclarator
406¿FunctionExpression¿¿650¿anon¿¿¿{"start":{"line":4,"column":0},"end":{"line":6,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/glance_3.0.0/glance.test.js"}¿¿FunctionExpression
407¿Identifier¿¿0¿n¿¿¿{"start":{"line":4,"column":16},"end":{"line":4,"column":17},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/glance_3.0.0/glance.test.js"}¿¿Identifier
408¿VariableDeclarator¿¿652¿v34¿¿¿{"start":{"line":5,"column":9},"end":{"line":5,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/glance_3.0.0/glance.test.js"}¿¿VariableDeclarator
409¿CallExpression¿¿652¿¿¿¿{"start":{"line":5,"column":9},"end":{"line":5,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/glance_3.0.0/glance.test.js"}¿¿CallExpression
410¿MemberExpression¿¿652¿¿¿¿{"start":{"line":5,"column":9},"end":{"line":5,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/glance_3.0.0/glance.test.js"}¿¿MemberExpression
411¿Literal¿string¿652¿¿'/..'¿¿{"start":{"line":5,"column":9},"end":{"line":5,"column":14},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/glance_3.0.0/glance.test.js"}¿¿Literal
412¿Identifier¿¿652¿repeat¿¿¿{"start":{"line":5,"column":15},"end":{"line":5,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/glance_3.0.0/glance.test.js"}¿¿Identifier
413¿Literal¿number¿652¿¿50¿¿{"start":{"line":5,"column":22},"end":{"line":5,"column":24},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/glance_3.0.0/glance.test.js"}¿¿Literal
414¿VariableDeclarator¿¿652¿v35¿¿¿{"start":{"line":5,"column":9},"end":{"line":5,"column":38},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/glance_3.0.0/glance.test.js"}¿¿VariableDeclarator
415¿BinaryExpression¿+¿652¿¿¿¿{"start":{"line":5,"column":9},"end":{"line":5,"column":38},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/glance_3.0.0/glance.test.js"}¿¿BinaryExpression
416¿Identifier¿¿652¿v34¿¿¿¿¿Identifier
417¿Identifier¿¿652¿pathToFlag¿¿¿{"start":{"line":5,"column":28},"end":{"line":5,"column":38},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/glance_3.0.0/glance.test.js"}¿¿Identifier
418¿ReturnStatement¿¿652¿¿¿¿{"start":{"line":5,"column":2},"end":{"line":5,"column":39},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/glance_3.0.0/glance.test.js"}¿¿ReturnStatement
419¿Identifier¿¿652¿v35¿¿¿¿¿Identifier
420¿BlockStatement¿¿652¿¿¿¿{"start":{"line":4,"column":19},"end":{"line":6,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/glance_3.0.0/glance.test.js"}¿¿BlockStatement
421¿VariableDeclarator¿¿650¿v63¿¿¿{"start":{"line":7,"column":33},"end":{"line":46,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/glance_3.0.0/glance.test.js"}¿¿VariableDeclarator
422¿ArrowFunctionExpression¿¿650¿¿¿¿{"start":{"line":7,"column":33},"end":{"line":46,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/glance_3.0.0/glance.test.js"}¿¿ArrowFunctionExpression
423¿Identifier¿¿0¿done¿¿¿{"start":{"line":7,"column":34},"end":{"line":7,"column":38},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/glance_3.0.0/glance.test.js"}¿¿Identifier
424¿VariableDeclarator¿¿654¿v36¿¿¿{"start":{"line":8,"column":2},"end":{"line":8,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/glance_3.0.0/glance.test.js"}¿¿VariableDeclarator
425¿CallExpression¿¿654¿¿¿¿{"start":{"line":8,"column":2},"end":{"line":8,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/glance_3.0.0/glance.test.js"}¿¿CallExpression
426¿MemberExpression¿¿654¿¿¿¿{"start":{"line":8,"column":2},"end":{"line":8,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/glance_3.0.0/glance.test.js"}¿¿MemberExpression
427¿Identifier¿¿654¿expect¿¿¿{"start":{"line":8,"column":2},"end":{"line":8,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/glance_3.0.0/glance.test.js"}¿¿Identifier
428¿Identifier¿¿654¿assertions¿¿¿{"start":{"line":8,"column":9},"end":{"line":8,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/glance_3.0.0/glance.test.js"}¿¿Identifier
429¿Literal¿number¿654¿¿1¿¿{"start":{"line":8,"column":20},"end":{"line":8,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/glance_3.0.0/glance.test.js"}¿¿Literal
430¿ExpressionStatement¿¿654¿¿¿¿{"start":{"line":8,"column":2},"end":{"line":8,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/glance_3.0.0/glance.test.js"}¿¿ExpressionStatement
431¿Identifier¿¿654¿v36¿¿¿¿¿Identifier
432¿VariableDeclarator¿¿654¿http¿¿¿{"start":{"line":9,"column":8},"end":{"line":9,"column":30},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/glance_3.0.0/glance.test.js"}¿¿VariableDeclarator
