Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
245¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":26,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/hangersteak_0.2.2/hangersteak.test.js"}¿¿Program
246¿VariableDeclarator¿¿405¿path¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":28},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/hangersteak_0.2.2/hangersteak.test.js"}¿¿VariableDeclarator
247¿CallExpression¿¿405¿¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":28},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/hangersteak_0.2.2/hangersteak.test.js"}¿¿CallExpression
248¿Identifier¿¿405¿require¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/hangersteak_0.2.2/hangersteak.test.js"}¿¿Identifier
249¿Literal¿string¿405¿¿'path'¿¿{"start":{"line":1,"column":21},"end":{"line":1,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/hangersteak_0.2.2/hangersteak.test.js"}¿¿Literal
250¿VariableDeclarator¿¿405¿pathToFlag¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":58},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/hangersteak_0.2.2/hangersteak.test.js"}¿¿VariableDeclarator
251¿CallExpression¿¿405¿¿¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":58},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/hangersteak_0.2.2/hangersteak.test.js"}¿¿CallExpression
252¿MemberExpression¿¿405¿¿¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":31},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/hangersteak_0.2.2/hangersteak.test.js"}¿¿MemberExpression
253¿Identifier¿¿405¿path¿¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/hangersteak_0.2.2/hangersteak.test.js"}¿¿Identifier
254¿Identifier¿¿405¿resolve¿¿¿{"start":{"line":2,"column":24},"end":{"line":2,"column":31},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/hangersteak_0.2.2/hangersteak.test.js"}¿¿Identifier
