Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
274¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":30,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/hostr_2.0.0/hostr.test.js"}¿¿Program
275¿VariableDeclarator¿¿454¿v23¿¿¿{"start":{"line":1,"column":15},"end":{"line":1,"column":39},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/hostr_2.0.0/hostr.test.js"}¿¿VariableDeclarator
276¿CallExpression¿¿454¿¿¿¿{"start":{"line":1,"column":15},"end":{"line":1,"column":39},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/hostr_2.0.0/hostr.test.js"}¿¿CallExpression
277¿Identifier¿¿454¿require¿¿¿{"start":{"line":1,"column":15},"end":{"line":1,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/hostr_2.0.0/hostr.test.js"}¿¿Identifier
278¿Literal¿string¿454¿¿'child_process'¿¿{"start":{"line":1,"column":23},"end":{"line":1,"column":38},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/hostr_2.0.0/hostr.test.js"}¿¿Literal
279¿VariableDeclarator¿¿454¿execSync¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":48},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/hostr_2.0.0/hostr.test.js"}¿¿VariableDeclarator
280¿MemberExpression¿¿454¿¿¿¿{"start":{"line":1,"column":15},"end":{"line":1,"column":48},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/hostr_2.0.0/hostr.test.js"}¿¿MemberExpression
281¿Identifier¿¿454¿v23¿¿¿¿¿Identifier
282¿Identifier¿¿454¿execSync¿¿¿{"start":{"line":1,"column":40},"end":{"line":1,"column":48},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/hostr_2.0.0/hostr.test.js"}¿¿Identifier
283¿VariableDeclarator¿¿454¿v25¿¿¿{"start":{"line":2,"column":9},"end":{"line":6,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/hostr_2.0.0/hostr.test.js"}¿¿VariableDeclarator
284¿ArrowFunctionExpression¿¿454¿¿¿¿{"start":{"line":2,"column":9},"end":{"line":6,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/hostr_2.0.0/hostr.test.js"}¿¿ArrowFunctionExpression
