Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
209¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":22,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/isv-http_0.0.9/isv-http.test.js"}¿¿Program
210¿VariableDeclarator¿¿346¿path¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":28},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/isv-http_0.0.9/isv-http.test.js"}¿¿VariableDeclarator
211¿CallExpression¿¿346¿¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":28},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/isv-http_0.0.9/isv-http.test.js"}¿¿CallExpression
212¿Identifier¿¿346¿require¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/isv-http_0.0.9/isv-http.test.js"}¿¿Identifier
213¿Literal¿string¿346¿¿'path'¿¿{"start":{"line":1,"column":21},"end":{"line":1,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/isv-http_0.0.9/isv-http.test.js"}¿¿Literal
214¿VariableDeclarator¿¿346¿pathToFlag¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":58},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/isv-http_0.0.9/isv-http.test.js"}¿¿VariableDeclarator
215¿CallExpression¿¿346¿¿¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":58},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/isv-http_0.0.9/isv-http.test.js"}¿¿CallExpression
216¿MemberExpression¿¿346¿¿¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":31},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/isv-http_0.0.9/isv-http.test.js"}¿¿MemberExpression
217¿Identifier¿¿346¿path¿¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/isv-http_0.0.9/isv-http.test.js"}¿¿Identifier
218¿Identifier¿¿346¿resolve¿¿¿{"start":{"line":2,"column":24},"end":{"line":2,"column":31},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/isv-http_0.0.9/isv-http.test.js"}¿¿Identifier
219¿Identifier¿¿346¿__dirname¿¿¿{"start":{"line":2,"column":32},"end":{"line":2,"column":41},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/isv-http_0.0.9/isv-http.test.js"}¿¿Identifier
220¿Literal¿string¿346¿¿'../flag.html'¿¿{"start":{"line":2,"column":43},"end":{"line":2,"column":57},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/isv-http_0.0.9/isv-http.test.js"}¿¿Literal
221¿VariableDeclarator¿¿346¿genstr¿¿¿{"start":{"line":3,"column":0},"end":{"line":5,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/isv-http_0.0.9/isv-http.test.js"}¿¿VariableDeclarator
222¿FunctionExpression¿¿346¿anon¿¿¿{"start":{"line":3,"column":0},"end":{"line":5,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/isv-http_0.0.9/isv-http.test.js"}¿¿FunctionExpression
223¿Identifier¿¿0¿n¿¿¿{"start":{"line":3,"column":16},"end":{"line":3,"column":17},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/isv-http_0.0.9/isv-http.test.js"}¿¿Identifier
