Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
285¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":31,"column":10},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/mfrs_1.0.0/mfrs.test.js"}¿¿Program
286¿VariableDeclarator¿¿472¿v23¿¿¿{"start":{"line":1,"column":15},"end":{"line":1,"column":39},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/mfrs_1.0.0/mfrs.test.js"}¿¿VariableDeclarator
287¿CallExpression¿¿472¿¿¿¿{"start":{"line":1,"column":15},"end":{"line":1,"column":39},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/mfrs_1.0.0/mfrs.test.js"}¿¿CallExpression
288¿Identifier¿¿472¿require¿¿¿{"start":{"line":1,"column":15},"end":{"line":1,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/mfrs_1.0.0/mfrs.test.js"}¿¿Identifier
289¿Literal¿string¿472¿¿'child_process'¿¿{"start":{"line":1,"column":23},"end":{"line":1,"column":38},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/mfrs_1.0.0/mfrs.test.js"}¿¿Literal
290¿VariableDeclarator¿¿472¿execSync¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":48},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/mfrs_1.0.0/mfrs.test.js"}¿¿VariableDeclarator
291¿MemberExpression¿¿472¿¿¿¿{"start":{"line":1,"column":15},"end":{"line":1,"column":48},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/mfrs_1.0.0/mfrs.test.js"}¿¿MemberExpression
292¿Identifier¿¿472¿v23¿¿¿¿¿Identifier
293¿Identifier¿¿472¿execSync¿¿¿{"start":{"line":1,"column":40},"end":{"line":1,"column":48},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/mfrs_1.0.0/mfrs.test.js"}¿¿Identifier
294¿VariableDeclarator¿¿472¿v25¿¿¿{"start":{"line":2,"column":9},"end":{"line":6,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/mfrs_1.0.0/mfrs.test.js"}¿¿VariableDeclarator
295¿ArrowFunctionExpression¿¿472¿¿¿¿{"start":{"line":2,"column":9},"end":{"line":6,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/mfrs_1.0.0/mfrs.test.js"}¿¿ArrowFunctionExpression
296¿TryStatement¿¿474¿¿¿¿{"start":{"line":3,"column":2},"end":{"line":5,"column":16},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/mfrs_1.0.0/mfrs.test.js"}¿¿TryStatement
297¿VariableDeclarator¿¿474¿v24¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":33},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/mfrs_1.0.0/mfrs.test.js"}¿¿VariableDeclarator
298¿CallExpression¿¿474¿¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":33},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/mfrs_1.0.0/mfrs.test.js"}¿¿CallExpression
299¿Identifier¿¿474¿execSync¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":12},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/mfrs_1.0.0/mfrs.test.js"}¿¿Identifier
