Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
256¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":30,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-simple-router_0.10.0/node-simple-router.test.js"}¿¿Program
257¿VariableDeclarator¿¿429¿path¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":28},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-simple-router_0.10.0/node-simple-router.test.js"}¿¿VariableDeclarator
258¿CallExpression¿¿429¿¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":28},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-simple-router_0.10.0/node-simple-router.test.js"}¿¿CallExpression
259¿Identifier¿¿429¿require¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-simple-router_0.10.0/node-simple-router.test.js"}¿¿Identifier
260¿Literal¿string¿429¿¿'path'¿¿{"start":{"line":1,"column":21},"end":{"line":1,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-simple-router_0.10.0/node-simple-router.test.js"}¿¿Literal
261¿VariableDeclarator¿¿429¿pathToFlag¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":58},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-simple-router_0.10.0/node-simple-router.test.js"}¿¿VariableDeclarator
262¿CallExpression¿¿429¿¿¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":58},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-simple-router_0.10.0/node-simple-router.test.js"}¿¿CallExpression
263¿MemberExpression¿¿429¿¿¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":31},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-simple-router_0.10.0/node-simple-router.test.js"}¿¿MemberExpression
264¿Identifier¿¿429¿path¿¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-simple-router_0.10.0/node-simple-router.test.js"}¿¿Identifier
265¿Identifier¿¿429¿resolve¿¿¿{"start":{"line":2,"column":24},"end":{"line":2,"column":31},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-simple-router_0.10.0/node-simple-router.test.js"}¿¿Identifier
266¿Identifier¿¿429¿__dirname¿¿¿{"start":{"line":2,"column":32},"end":{"line":2,"column":41},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-simple-router_0.10.0/node-simple-router.test.js"}¿¿Identifier
267¿Literal¿string¿429¿¿'../flag.html'¿¿{"start":{"line":2,"column":43},"end":{"line":2,"column":57},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-simple-router_0.10.0/node-simple-router.test.js"}¿¿Literal
268¿VariableDeclarator¿¿429¿genstr¿¿¿{"start":{"line":3,"column":0},"end":{"line":5,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-simple-router_0.10.0/node-simple-router.test.js"}¿¿VariableDeclarator
269¿FunctionExpression¿¿429¿anon¿¿¿{"start":{"line":3,"column":0},"end":{"line":5,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-simple-router_0.10.0/node-simple-router.test.js"}¿¿FunctionExpression
270¿Identifier¿¿0¿n¿¿¿{"start":{"line":3,"column":16},"end":{"line":3,"column":17},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-simple-router_0.10.0/node-simple-router.test.js"}¿¿Identifier
271¿VariableDeclarator¿¿431¿v20¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-simple-router_0.10.0/node-simple-router.test.js"}¿¿VariableDeclarator
272¿CallExpression¿¿431¿¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-simple-router_0.10.0/node-simple-router.test.js"}¿¿CallExpression
273¿MemberExpression¿¿431¿¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-simple-router_0.10.0/node-simple-router.test.js"}¿¿MemberExpression
274¿Literal¿string¿431¿¿'/..'¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":14},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-simple-router_0.10.0/node-simple-router.test.js"}¿¿Literal
275¿Identifier¿¿431¿repeat¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-simple-router_0.10.0/node-simple-router.test.js"}¿¿Identifier
276¿Literal¿number¿431¿¿50¿¿{"start":{"line":4,"column":22},"end":{"line":4,"column":24},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-simple-router_0.10.0/node-simple-router.test.js"}¿¿Literal
277¿VariableDeclarator¿¿431¿v21¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":38},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-simple-router_0.10.0/node-simple-router.test.js"}¿¿VariableDeclarator
278¿BinaryExpression¿+¿431¿¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":38},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-simple-router_0.10.0/node-simple-router.test.js"}¿¿BinaryExpression
279¿Identifier¿¿431¿v20¿¿¿¿¿Identifier
280¿Identifier¿¿431¿pathToFlag¿¿¿{"start":{"line":4,"column":28},"end":{"line":4,"column":38},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-simple-router_0.10.0/node-simple-router.test.js"}¿¿Identifier
281¿ReturnStatement¿¿431¿¿¿¿{"start":{"line":4,"column":2},"end":{"line":4,"column":39},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-simple-router_0.10.0/node-simple-router.test.js"}¿¿ReturnStatement
282¿Identifier¿¿431¿v21¿¿¿¿¿Identifier
283¿BlockStatement¿¿431¿¿¿¿{"start":{"line":3,"column":19},"end":{"line":5,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-simple-router_0.10.0/node-simple-router.test.js"}¿¿BlockStatement
284¿VariableDeclarator¿¿429¿v37¿¿¿{"start":{"line":6,"column":45},"end":{"line":30,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-simple-router_0.10.0/node-simple-router.test.js"}¿¿VariableDeclarator
285¿ArrowFunctionExpression¿¿429¿¿¿¿{"start":{"line":6,"column":45},"end":{"line":30,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-simple-router_0.10.0/node-simple-router.test.js"}¿¿ArrowFunctionExpression
286¿Identifier¿¿0¿done¿¿¿{"start":{"line":6,"column":46},"end":{"line":6,"column":50},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-simple-router_0.10.0/node-simple-router.test.js"}¿¿Identifier
287¿VariableDeclarator¿¿433¿v22¿¿¿{"start":{"line":7,"column":2},"end":{"line":7,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-simple-router_0.10.0/node-simple-router.test.js"}¿¿VariableDeclarator
288¿CallExpression¿¿433¿¿¿¿{"start":{"line":7,"column":2},"end":{"line":7,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-simple-router_0.10.0/node-simple-router.test.js"}¿¿CallExpression
289¿MemberExpression¿¿433¿¿¿¿{"start":{"line":7,"column":2},"end":{"line":7,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-simple-router_0.10.0/node-simple-router.test.js"}¿¿MemberExpression
290¿Identifier¿¿433¿expect¿¿¿{"start":{"line":7,"column":2},"end":{"line":7,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-simple-router_0.10.0/node-simple-router.test.js"}¿¿Identifier
291¿Identifier¿¿433¿assertions¿¿¿{"start":{"line":7,"column":9},"end":{"line":7,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-simple-router_0.10.0/node-simple-router.test.js"}¿¿Identifier
292¿Literal¿number¿433¿¿1¿¿{"start":{"line":7,"column":20},"end":{"line":7,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-simple-router_0.10.0/node-simple-router.test.js"}¿¿Literal
