Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
210¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":22,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿Program
211¿VariableDeclarator¿¿348¿path¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":28},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿VariableDeclarator
212¿CallExpression¿¿348¿¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":28},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿CallExpression
213¿Identifier¿¿348¿require¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿Identifier
214¿Literal¿string¿348¿¿'path'¿¿{"start":{"line":1,"column":21},"end":{"line":1,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿Literal
215¿VariableDeclarator¿¿348¿pathToFlag¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":58},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿VariableDeclarator
216¿CallExpression¿¿348¿¿¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":58},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿CallExpression
217¿MemberExpression¿¿348¿¿¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":31},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿MemberExpression
218¿Identifier¿¿348¿path¿¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿Identifier
219¿Identifier¿¿348¿resolve¿¿¿{"start":{"line":2,"column":24},"end":{"line":2,"column":31},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿Identifier
220¿Identifier¿¿348¿__dirname¿¿¿{"start":{"line":2,"column":32},"end":{"line":2,"column":41},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿Identifier
221¿Literal¿string¿348¿¿'../flag.html'¿¿{"start":{"line":2,"column":43},"end":{"line":2,"column":57},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿Literal
222¿VariableDeclarator¿¿348¿genstr¿¿¿{"start":{"line":3,"column":0},"end":{"line":5,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿VariableDeclarator
223¿FunctionExpression¿¿348¿anon¿¿¿{"start":{"line":3,"column":0},"end":{"line":5,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿FunctionExpression
224¿Identifier¿¿0¿n¿¿¿{"start":{"line":3,"column":16},"end":{"line":3,"column":17},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿Identifier
225¿VariableDeclarator¿¿350¿v17¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿VariableDeclarator
226¿CallExpression¿¿350¿¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿CallExpression
227¿MemberExpression¿¿350¿¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿MemberExpression
228¿Literal¿string¿350¿¿'/..'¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":14},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿Literal
229¿Identifier¿¿350¿repeat¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿Identifier
230¿Literal¿number¿350¿¿50¿¿{"start":{"line":4,"column":22},"end":{"line":4,"column":24},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿Literal
231¿VariableDeclarator¿¿350¿v18¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":38},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿VariableDeclarator
232¿BinaryExpression¿+¿350¿¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":38},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿BinaryExpression
233¿Identifier¿¿350¿v17¿¿¿¿¿Identifier
234¿Identifier¿¿350¿pathToFlag¿¿¿{"start":{"line":4,"column":28},"end":{"line":4,"column":38},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿Identifier
235¿ReturnStatement¿¿350¿¿¿¿{"start":{"line":4,"column":2},"end":{"line":4,"column":39},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿ReturnStatement
236¿Identifier¿¿350¿v18¿¿¿¿¿Identifier
237¿BlockStatement¿¿350¿¿¿¿{"start":{"line":3,"column":19},"end":{"line":5,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿BlockStatement
238¿VariableDeclarator¿¿348¿v31¿¿¿{"start":{"line":6,"column":48},"end":{"line":22,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿VariableDeclarator
239¿ArrowFunctionExpression¿¿348¿¿¿¿{"start":{"line":6,"column":48},"end":{"line":22,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿ArrowFunctionExpression
240¿Identifier¿¿0¿done¿¿¿{"start":{"line":6,"column":49},"end":{"line":6,"column":53},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿Identifier
241¿VariableDeclarator¿¿352¿v19¿¿¿{"start":{"line":7,"column":2},"end":{"line":7,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿VariableDeclarator
242¿CallExpression¿¿352¿¿¿¿{"start":{"line":7,"column":2},"end":{"line":7,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿CallExpression
243¿MemberExpression¿¿352¿¿¿¿{"start":{"line":7,"column":2},"end":{"line":7,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿MemberExpression
244¿Identifier¿¿352¿expect¿¿¿{"start":{"line":7,"column":2},"end":{"line":7,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿Identifier
245¿Identifier¿¿352¿assertions¿¿¿{"start":{"line":7,"column":9},"end":{"line":7,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿Identifier
246¿Literal¿number¿352¿¿1¿¿{"start":{"line":7,"column":20},"end":{"line":7,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿Literal
247¿ExpressionStatement¿¿352¿¿¿¿{"start":{"line":7,"column":2},"end":{"line":7,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿ExpressionStatement
248¿Identifier¿¿352¿v19¿¿¿¿¿Identifier
249¿VariableDeclarator¿¿352¿pkg¿¿¿{"start":{"line":8,"column":8},"end":{"line":8,"column":46},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿VariableDeclarator
250¿CallExpression¿¿352¿¿¿¿{"start":{"line":8,"column":14},"end":{"line":8,"column":46},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿CallExpression
251¿Identifier¿¿352¿require¿¿¿{"start":{"line":8,"column":14},"end":{"line":8,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿Identifier
252¿Literal¿string¿352¿¿'node-static-webserver'¿¿{"start":{"line":8,"column":22},"end":{"line":8,"column":45},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿Literal
253¿VariableDeclarator¿¿352¿fs¿¿¿{"start":{"line":9,"column":8},"end":{"line":9,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿VariableDeclarator
254¿CallExpression¿¿352¿¿¿¿{"start":{"line":9,"column":13},"end":{"line":9,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿CallExpression
255¿Identifier¿¿352¿require¿¿¿{"start":{"line":9,"column":13},"end":{"line":9,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿Identifier
256¿Literal¿string¿352¿¿'fs'¿¿{"start":{"line":9,"column":21},"end":{"line":9,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿Literal
257¿VariableDeclarator¿¿352¿v20¿¿¿{"start":{"line":10,"column":8},"end":{"line":10,"column":43},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿VariableDeclarator
258¿CallExpression¿¿352¿¿¿¿{"start":{"line":10,"column":19},"end":{"line":10,"column":43},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿CallExpression
259¿Identifier¿¿352¿require¿¿¿{"start":{"line":10,"column":19},"end":{"line":10,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿Identifier
260¿Literal¿string¿352¿¿'child_process'¿¿{"start":{"line":10,"column":27},"end":{"line":10,"column":42},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿Literal
261¿VariableDeclarator¿¿352¿exec¿¿¿{"start":{"line":10,"column":10},"end":{"line":10,"column":14},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿VariableDeclarator
262¿MemberExpression¿¿352¿¿¿¿{"start":{"line":10,"column":10},"end":{"line":10,"column":14},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿MemberExpression
263¿Identifier¿¿352¿v20¿¿¿¿¿Identifier
264¿Identifier¿¿352¿exec¿¿¿{"start":{"line":10,"column":10},"end":{"line":10,"column":14},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿Identifier
265¿VariableDeclarator¿¿352¿v21¿¿¿{"start":{"line":11,"column":18},"end":{"line":11,"column":45},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿VariableDeclarator
266¿CallExpression¿¿352¿¿¿¿{"start":{"line":11,"column":18},"end":{"line":11,"column":45},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿CallExpression
267¿MemberExpression¿¿352¿¿¿¿{"start":{"line":11,"column":18},"end":{"line":11,"column":33},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿MemberExpression
268¿Identifier¿¿352¿fs¿¿¿{"start":{"line":11,"column":18},"end":{"line":11,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿Identifier
269¿Identifier¿¿352¿readFileSync¿¿¿{"start":{"line":11,"column":21},"end":{"line":11,"column":33},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿Identifier
270¿Identifier¿¿352¿pathToFlag¿¿¿{"start":{"line":11,"column":34},"end":{"line":11,"column":44},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿Identifier
271¿VariableDeclarator¿¿352¿hostsFile¿¿¿{"start":{"line":11,"column":6},"end":{"line":11,"column":56},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿VariableDeclarator
272¿CallExpression¿¿352¿¿¿¿{"start":{"line":11,"column":18},"end":{"line":11,"column":56},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿CallExpression
273¿MemberExpression¿¿352¿¿¿¿{"start":{"line":11,"column":18},"end":{"line":11,"column":54},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿MemberExpression
274¿Identifier¿¿352¿v21¿¿¿¿¿Identifier
275¿Identifier¿¿352¿toString¿¿¿{"start":{"line":11,"column":46},"end":{"line":11,"column":54},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿Identifier
276¿VariableDeclarator¿¿352¿a¿¿¿{"start":{"line":12,"column":8},"end":{"line":12,"column":36},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿VariableDeclarator
277¿CallExpression¿¿352¿¿¿¿{"start":{"line":12,"column":12},"end":{"line":12,"column":36},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿CallExpression
278¿Identifier¿¿352¿require¿¿¿{"start":{"line":12,"column":12},"end":{"line":12,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿Identifier
279¿Literal¿string¿352¿¿'child_process'¿¿{"start":{"line":12,"column":20},"end":{"line":12,"column":35},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿Literal
280¿TryStatement¿¿352¿¿¿¿{"start":{"line":13,"column":2},"end":{"line":15,"column":16},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-static-webserver_0.0.1/node-static-webserver.test.js"}¿¿TryStatement
