Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
215¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":23,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-staticserver_1.0.3/node-staticserver.test.js"}¿¿Program
216¿VariableDeclarator¿¿356¿path¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":28},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-staticserver_1.0.3/node-staticserver.test.js"}¿¿VariableDeclarator
217¿CallExpression¿¿356¿¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":28},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-staticserver_1.0.3/node-staticserver.test.js"}¿¿CallExpression
218¿Identifier¿¿356¿require¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-staticserver_1.0.3/node-staticserver.test.js"}¿¿Identifier
219¿Literal¿string¿356¿¿'path'¿¿{"start":{"line":1,"column":21},"end":{"line":1,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-staticserver_1.0.3/node-staticserver.test.js"}¿¿Literal
220¿VariableDeclarator¿¿356¿pathToFlag¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":58},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-staticserver_1.0.3/node-staticserver.test.js"}¿¿VariableDeclarator
221¿CallExpression¿¿356¿¿¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":58},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-staticserver_1.0.3/node-staticserver.test.js"}¿¿CallExpression
222¿MemberExpression¿¿356¿¿¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":31},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-staticserver_1.0.3/node-staticserver.test.js"}¿¿MemberExpression
223¿Identifier¿¿356¿path¿¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-staticserver_1.0.3/node-staticserver.test.js"}¿¿Identifier
224¿Identifier¿¿356¿resolve¿¿¿{"start":{"line":2,"column":24},"end":{"line":2,"column":31},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-staticserver_1.0.3/node-staticserver.test.js"}¿¿Identifier
225¿Identifier¿¿356¿__dirname¿¿¿{"start":{"line":2,"column":32},"end":{"line":2,"column":41},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-staticserver_1.0.3/node-staticserver.test.js"}¿¿Identifier
226¿Literal¿string¿356¿¿'../flag.html'¿¿{"start":{"line":2,"column":43},"end":{"line":2,"column":57},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-staticserver_1.0.3/node-staticserver.test.js"}¿¿Literal
227¿VariableDeclarator¿¿356¿genstr¿¿¿{"start":{"line":3,"column":0},"end":{"line":5,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-staticserver_1.0.3/node-staticserver.test.js"}¿¿VariableDeclarator
228¿FunctionExpression¿¿356¿anon¿¿¿{"start":{"line":3,"column":0},"end":{"line":5,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/node-staticserver_1.0.3/node-staticserver.test.js"}¿¿FunctionExpression
