Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
218¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":26,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/pico-static-server_2.3.4/pico-static-server.test.js"}¿¿Program
219¿VariableDeclarator¿¿363¿path¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":28},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/pico-static-server_2.3.4/pico-static-server.test.js"}¿¿VariableDeclarator
220¿CallExpression¿¿363¿¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":28},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/pico-static-server_2.3.4/pico-static-server.test.js"}¿¿CallExpression
221¿Identifier¿¿363¿require¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/pico-static-server_2.3.4/pico-static-server.test.js"}¿¿Identifier
222¿Literal¿string¿363¿¿'path'¿¿{"start":{"line":1,"column":21},"end":{"line":1,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/pico-static-server_2.3.4/pico-static-server.test.js"}¿¿Literal
223¿VariableDeclarator¿¿363¿pathToFlag¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":58},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/pico-static-server_2.3.4/pico-static-server.test.js"}¿¿VariableDeclarator
224¿CallExpression¿¿363¿¿¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":58},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/pico-static-server_2.3.4/pico-static-server.test.js"}¿¿CallExpression
225¿MemberExpression¿¿363¿¿¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":31},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/pico-static-server_2.3.4/pico-static-server.test.js"}¿¿MemberExpression
226¿Identifier¿¿363¿path¿¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/pico-static-server_2.3.4/pico-static-server.test.js"}¿¿Identifier
227¿Identifier¿¿363¿resolve¿¿¿{"start":{"line":2,"column":24},"end":{"line":2,"column":31},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/pico-static-server_2.3.4/pico-static-server.test.js"}¿¿Identifier
228¿Identifier¿¿363¿__dirname¿¿¿{"start":{"line":2,"column":32},"end":{"line":2,"column":41},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/pico-static-server_2.3.4/pico-static-server.test.js"}¿¿Identifier
229¿Literal¿string¿363¿¿'../flag.html'¿¿{"start":{"line":2,"column":43},"end":{"line":2,"column":57},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/pico-static-server_2.3.4/pico-static-server.test.js"}¿¿Literal
230¿VariableDeclarator¿¿363¿genstr¿¿¿{"start":{"line":3,"column":0},"end":{"line":5,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/pico-static-server_2.3.4/pico-static-server.test.js"}¿¿VariableDeclarator
231¿FunctionExpression¿¿363¿anon¿¿¿{"start":{"line":3,"column":0},"end":{"line":5,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/pico-static-server_2.3.4/pico-static-server.test.js"}¿¿FunctionExpression
232¿Identifier¿¿0¿n¿¿¿{"start":{"line":3,"column":16},"end":{"line":3,"column":17},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/pico-static-server_2.3.4/pico-static-server.test.js"}¿¿Identifier
233¿VariableDeclarator¿¿365¿v17¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/pico-static-server_2.3.4/pico-static-server.test.js"}¿¿VariableDeclarator
234¿CallExpression¿¿365¿¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/pico-static-server_2.3.4/pico-static-server.test.js"}¿¿CallExpression
235¿MemberExpression¿¿365¿¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/pico-static-server_2.3.4/pico-static-server.test.js"}¿¿MemberExpression
236¿Literal¿string¿365¿¿'/..'¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":14},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/pico-static-server_2.3.4/pico-static-server.test.js"}¿¿Literal
237¿Identifier¿¿365¿repeat¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/pico-static-server_2.3.4/pico-static-server.test.js"}¿¿Identifier
238¿Literal¿number¿365¿¿50¿¿{"start":{"line":4,"column":22},"end":{"line":4,"column":24},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/pico-static-server_2.3.4/pico-static-server.test.js"}¿¿Literal
239¿VariableDeclarator¿¿365¿v18¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":38},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/pico-static-server_2.3.4/pico-static-server.test.js"}¿¿VariableDeclarator
240¿BinaryExpression¿+¿365¿¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":38},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/pico-static-server_2.3.4/pico-static-server.test.js"}¿¿BinaryExpression
241¿Identifier¿¿365¿v17¿¿¿¿¿Identifier
242¿Identifier¿¿365¿pathToFlag¿¿¿{"start":{"line":4,"column":28},"end":{"line":4,"column":38},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/pico-static-server_2.3.4/pico-static-server.test.js"}¿¿Identifier
243¿ReturnStatement¿¿365¿¿¿¿{"start":{"line":4,"column":2},"end":{"line":4,"column":39},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/pico-static-server_2.3.4/pico-static-server.test.js"}¿¿ReturnStatement
244¿Identifier¿¿365¿v18¿¿¿¿¿Identifier
245¿BlockStatement¿¿365¿¿¿¿{"start":{"line":3,"column":19},"end":{"line":5,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/pico-static-server_2.3.4/pico-static-server.test.js"}¿¿BlockStatement
