Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
269¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":33,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/proxey_0.4.2/proxey.test.js"}¿¿Program
270¿VariableDeclarator¿¿455¿path¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":28},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/proxey_0.4.2/proxey.test.js"}¿¿VariableDeclarator
271¿CallExpression¿¿455¿¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":28},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/proxey_0.4.2/proxey.test.js"}¿¿CallExpression
272¿Identifier¿¿455¿require¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/proxey_0.4.2/proxey.test.js"}¿¿Identifier
273¿Literal¿string¿455¿¿'path'¿¿{"start":{"line":1,"column":21},"end":{"line":1,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/proxey_0.4.2/proxey.test.js"}¿¿Literal
274¿VariableDeclarator¿¿455¿pathToFlag¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":58},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/proxey_0.4.2/proxey.test.js"}¿¿VariableDeclarator
275¿CallExpression¿¿455¿¿¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":58},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/proxey_0.4.2/proxey.test.js"}¿¿CallExpression
276¿MemberExpression¿¿455¿¿¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":31},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/proxey_0.4.2/proxey.test.js"}¿¿MemberExpression
277¿Identifier¿¿455¿path¿¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/proxey_0.4.2/proxey.test.js"}¿¿Identifier
278¿Identifier¿¿455¿resolve¿¿¿{"start":{"line":2,"column":24},"end":{"line":2,"column":31},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/proxey_0.4.2/proxey.test.js"}¿¿Identifier
279¿Identifier¿¿455¿__dirname¿¿¿{"start":{"line":2,"column":32},"end":{"line":2,"column":41},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/proxey_0.4.2/proxey.test.js"}¿¿Identifier
280¿Literal¿string¿455¿¿'../flag.html'¿¿{"start":{"line":2,"column":43},"end":{"line":2,"column":57},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/proxey_0.4.2/proxey.test.js"}¿¿Literal
281¿VariableDeclarator¿¿455¿genstr¿¿¿{"start":{"line":3,"column":0},"end":{"line":5,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/proxey_0.4.2/proxey.test.js"}¿¿VariableDeclarator
282¿FunctionExpression¿¿455¿anon¿¿¿{"start":{"line":3,"column":0},"end":{"line":5,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/proxey_0.4.2/proxey.test.js"}¿¿FunctionExpression
283¿Identifier¿¿0¿n¿¿¿{"start":{"line":3,"column":16},"end":{"line":3,"column":17},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/proxey_0.4.2/proxey.test.js"}¿¿Identifier
284¿VariableDeclarator¿¿457¿v20¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/proxey_0.4.2/proxey.test.js"}¿¿VariableDeclarator
285¿CallExpression¿¿457¿¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/proxey_0.4.2/proxey.test.js"}¿¿CallExpression
286¿MemberExpression¿¿457¿¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/proxey_0.4.2/proxey.test.js"}¿¿MemberExpression
287¿Literal¿string¿457¿¿'/..'¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":14},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/proxey_0.4.2/proxey.test.js"}¿¿Literal
288¿Identifier¿¿457¿repeat¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/proxey_0.4.2/proxey.test.js"}¿¿Identifier
