Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
302¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":35,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/pytservce_1.0.0/pytservce.test.js"}¿¿Program
303¿VariableDeclarator¿¿503¿v24¿¿¿{"start":{"line":1,"column":15},"end":{"line":1,"column":39},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/pytservce_1.0.0/pytservce.test.js"}¿¿VariableDeclarator
304¿CallExpression¿¿503¿¿¿¿{"start":{"line":1,"column":15},"end":{"line":1,"column":39},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/pytservce_1.0.0/pytservce.test.js"}¿¿CallExpression
305¿Identifier¿¿503¿require¿¿¿{"start":{"line":1,"column":15},"end":{"line":1,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/pytservce_1.0.0/pytservce.test.js"}¿¿Identifier
306¿Literal¿string¿503¿¿'child_process'¿¿{"start":{"line":1,"column":23},"end":{"line":1,"column":38},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/pytservce_1.0.0/pytservce.test.js"}¿¿Literal
307¿VariableDeclarator¿¿503¿execSync¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":48},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/pytservce_1.0.0/pytservce.test.js"}¿¿VariableDeclarator
308¿MemberExpression¿¿503¿¿¿¿{"start":{"line":1,"column":15},"end":{"line":1,"column":48},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/pytservce_1.0.0/pytservce.test.js"}¿¿MemberExpression
309¿Identifier¿¿503¿v24¿¿¿¿¿Identifier
310¿Identifier¿¿503¿execSync¿¿¿{"start":{"line":1,"column":40},"end":{"line":1,"column":48},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/pytservce_1.0.0/pytservce.test.js"}¿¿Identifier
311¿VariableDeclarator¿¿503¿v26¿¿¿{"start":{"line":2,"column":9},"end":{"line":6,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/pytservce_1.0.0/pytservce.test.js"}¿¿VariableDeclarator
312¿ArrowFunctionExpression¿¿503¿¿¿¿{"start":{"line":2,"column":9},"end":{"line":6,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/pytservce_1.0.0/pytservce.test.js"}¿¿ArrowFunctionExpression
313¿TryStatement¿¿505¿¿¿¿{"start":{"line":3,"column":2},"end":{"line":5,"column":16},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/pytservce_1.0.0/pytservce.test.js"}¿¿TryStatement
