Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
227¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":28,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/wrlc_0.2.5/wrlc.test.js"}¿¿Program
228¿VariableDeclarator¿¿377¿path¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":28},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/wrlc_0.2.5/wrlc.test.js"}¿¿VariableDeclarator
229¿CallExpression¿¿377¿¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":28},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/wrlc_0.2.5/wrlc.test.js"}¿¿CallExpression
230¿Identifier¿¿377¿require¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/wrlc_0.2.5/wrlc.test.js"}¿¿Identifier
231¿Literal¿string¿377¿¿'path'¿¿{"start":{"line":1,"column":21},"end":{"line":1,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/wrlc_0.2.5/wrlc.test.js"}¿¿Literal
232¿VariableDeclarator¿¿377¿pathToFlag¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":58},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/wrlc_0.2.5/wrlc.test.js"}¿¿VariableDeclarator
233¿CallExpression¿¿377¿¿¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":58},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/wrlc_0.2.5/wrlc.test.js"}¿¿CallExpression
234¿MemberExpression¿¿377¿¿¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":31},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/wrlc_0.2.5/wrlc.test.js"}¿¿MemberExpression
235¿Identifier¿¿377¿path¿¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/wrlc_0.2.5/wrlc.test.js"}¿¿Identifier
236¿Identifier¿¿377¿resolve¿¿¿{"start":{"line":2,"column":24},"end":{"line":2,"column":31},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/wrlc_0.2.5/wrlc.test.js"}¿¿Identifier
237¿Identifier¿¿377¿__dirname¿¿¿{"start":{"line":2,"column":32},"end":{"line":2,"column":41},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/wrlc_0.2.5/wrlc.test.js"}¿¿Identifier
238¿Literal¿string¿377¿¿'../flag.html'¿¿{"start":{"line":2,"column":43},"end":{"line":2,"column":57},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/wrlc_0.2.5/wrlc.test.js"}¿¿Literal
239¿VariableDeclarator¿¿377¿genstr¿¿¿{"start":{"line":3,"column":0},"end":{"line":5,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/wrlc_0.2.5/wrlc.test.js"}¿¿VariableDeclarator
240¿FunctionExpression¿¿377¿anon¿¿¿{"start":{"line":3,"column":0},"end":{"line":5,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/wrlc_0.2.5/wrlc.test.js"}¿¿FunctionExpression
241¿Identifier¿¿0¿n¿¿¿{"start":{"line":3,"column":16},"end":{"line":3,"column":17},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/wrlc_0.2.5/wrlc.test.js"}¿¿Identifier
242¿VariableDeclarator¿¿379¿v19¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/wrlc_0.2.5/wrlc.test.js"}¿¿VariableDeclarator
243¿CallExpression¿¿379¿¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/wrlc_0.2.5/wrlc.test.js"}¿¿CallExpression
244¿MemberExpression¿¿379¿¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/wrlc_0.2.5/wrlc.test.js"}¿¿MemberExpression
