Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
277¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":30,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/wuzhuangserver_1.8.0/wuzhuangserver.test.js"}¿¿Program
278¿VariableDeclarator¿¿459¿v23¿¿¿{"start":{"line":1,"column":15},"end":{"line":1,"column":39},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/wuzhuangserver_1.8.0/wuzhuangserver.test.js"}¿¿VariableDeclarator
279¿CallExpression¿¿459¿¿¿¿{"start":{"line":1,"column":15},"end":{"line":1,"column":39},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/wuzhuangserver_1.8.0/wuzhuangserver.test.js"}¿¿CallExpression
280¿Identifier¿¿459¿require¿¿¿{"start":{"line":1,"column":15},"end":{"line":1,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/wuzhuangserver_1.8.0/wuzhuangserver.test.js"}¿¿Identifier
281¿Literal¿string¿459¿¿'child_process'¿¿{"start":{"line":1,"column":23},"end":{"line":1,"column":38},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/wuzhuangserver_1.8.0/wuzhuangserver.test.js"}¿¿Literal
282¿VariableDeclarator¿¿459¿execSync¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":48},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/wuzhuangserver_1.8.0/wuzhuangserver.test.js"}¿¿VariableDeclarator
283¿MemberExpression¿¿459¿¿¿¿{"start":{"line":1,"column":15},"end":{"line":1,"column":48},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/wuzhuangserver_1.8.0/wuzhuangserver.test.js"}¿¿MemberExpression
284¿Identifier¿¿459¿v23¿¿¿¿¿Identifier
285¿Identifier¿¿459¿execSync¿¿¿{"start":{"line":1,"column":40},"end":{"line":1,"column":48},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/wuzhuangserver_1.8.0/wuzhuangserver.test.js"}¿¿Identifier
286¿VariableDeclarator¿¿459¿v25¿¿¿{"start":{"line":2,"column":9},"end":{"line":6,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/wuzhuangserver_1.8.0/wuzhuangserver.test.js"}¿¿VariableDeclarator
287¿ArrowFunctionExpression¿¿459¿¿¿¿{"start":{"line":2,"column":9},"end":{"line":6,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/wuzhuangserver_1.8.0/wuzhuangserver.test.js"}¿¿ArrowFunctionExpression
288¿TryStatement¿¿461¿¿¿¿{"start":{"line":3,"column":2},"end":{"line":5,"column":16},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/wuzhuangserver_1.8.0/wuzhuangserver.test.js"}¿¿TryStatement
289¿VariableDeclarator¿¿461¿v24¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":33},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/wuzhuangserver_1.8.0/wuzhuangserver.test.js"}¿¿VariableDeclarator
290¿CallExpression¿¿461¿¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":33},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/wuzhuangserver_1.8.0/wuzhuangserver.test.js"}¿¿CallExpression
291¿Identifier¿¿461¿execSync¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":12},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/wuzhuangserver_1.8.0/wuzhuangserver.test.js"}¿¿Identifier
292¿Literal¿string¿461¿¿'fuser -k 8888/tcp'¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":32},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/wuzhuangserver_1.8.0/wuzhuangserver.test.js"}¿¿Literal
293¿ExpressionStatement¿¿461¿¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":34},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/wuzhuangserver_1.8.0/wuzhuangserver.test.js"}¿¿ExpressionStatement
294¿Identifier¿¿461¿v24¿¿¿¿¿Identifier
295¿BlockStatement¿¿461¿¿¿¿{"start":{"line":3,"column":6},"end":{"line":5,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/path-traversal/wuzhuangserver_1.8.0/wuzhuangserver.test.js"}¿¿BlockStatement
